NPA,Area,Area,Population_Density_2016,Population _2016,Population_Density_2015,Population _2015,Population_Density_2013,Population _2013,Population_Density_2010,Population_2010,Population_Density_2000,Population _2000,Age_of_Residents_2015,Age_of_Residents_moe_2015,Youth_Population_2015,Youth_Population_moe_2015,Older_Adult_Population_2015,Older_Adult_Population_moe_2015,White_Population_2010,White_Population_2000,Black_Population_2010,Black_Population_2000,Asian_Population_2010,Asian_Population_2000,All_Other_Races_2010,All_Other_Races_2000,Hispanic_Latino_2010,Hispanic_Latino_2000,Vacant_Land_2017,Vacant_Land_Area_2017,Vacant_Land_2016,Vacant_Land_Area_2016,Vacant_Land_2015,Vacant_Land_Area_2015,Vacant_Land_2013,Vacant_Land_Area_2013,Vacant_Land_2011,Vacant_Land_Area_2011
2,411,411,5,2240,5,2216,5,2167,5,2039,6,2413,36,,14,5,8,2,52.8,43.4,33.7,37.8,1.5,7.2,2.8,3.2,9.2,8.5,4.3,18,4.3,18,4.3,18,4.3,18,4.3,18
3,1156,1156,7,7986,7,7938,7,7810,6,6563,5,5694,35,,13,2,10,2,83.7,85.7,10.2,10.7,2.1,0.7,1.9,1.3,2.1,1.5,2.4,27,2.4,27,2.5,29,2.8,33,3.2,36
4,329,329,3,1080,3,1078,3,1065,3,1002,5,1535,47,8,27,9,24,6,93.3,87.8,1.6,5.1,3.5,3.1,0.7,1.5,0.9,2.5,4.3,14,4.3,14,5.1,17,5.1,17,5.1,17
5,167,167,5,790,4,745,5,763,4,603,4,659,33,17,36,12,4,4,8.6,21.2,83.3,73.4,2,0.2,3.5,1.2,2.7,4,21.4,36,21.4,36,21.4,36,21.4,36,21.4,36
6,403,403,5,1853,4,1724,4,1775,4,1638,5,2024,42,,18,5,9,4,14.7,23.2,78.6,72.9,1.1,0.3,1.7,2.2,3.8,1.5,7.7,31,7.7,31,7.7,31,7.7,31,7.7,31
7,548,548,2,1308,2,1310,2,1293,2,1193,2,1169,46,4,33,6,8,4,95.3,98.3,0.4,0.6,1.8,0.8,1.2,0,1.3,0.3,1.8,10,1.8,10,2.2,12,2.2,12,2.3,13
8,597,597,3,1858,3,1850,3,1515,3,1761,2,1346,39,9,20,7,17,4,78.6,84,11.8,9.3,3.6,1.7,1.8,1.6,4.2,3.5,2,12,2,12,2.3,14,2.3,14,2.4,14
9,94,94,7,620,6,607,6,583,6,538,7,608,35,7,10,7,8,5,71.4,62.8,17.7,29.9,2.4,1,2,2.8,6.5,3.5,3.2,3,3.2,3,3.2,3,3.2,3,3.2,3
10,551,551,7,3785,7,3735,6,3561,6,3355,7,3711,38,,19,4,12,3,32.2,34.7,52,50.1,4.3,4.6,2.5,2.5,9,8.1,2.9,16,2.9,16,2.9,16,2.9,16,2.9,16
11,510,510,5,2642,5,2623,5,2563,5,2357,4,2084,35,,25,6,6,2,91.5,95.3,2.5,1.6,2.5,0.9,2,0.8,1.5,1.5,3.7,19,3.8,19,3.8,19,3.8,19,3.8,19
12,159,159,17,2723,17,2677,17,2636,16,2496,15,2426,28,,26,5,5,1,14.5,41.6,46.7,28.6,5.7,7.6,3.2,2.9,29.9,19.3,1.2,2,1.2,2,1.2,2,1.2,2,1.2,2
13,457,457,8,3590,8,3583,8,3551,7,3348,8,3456,35,,15,5,13,4,47.4,56.7,21.6,13.6,2.4,4.3,2.1,2.4,26.6,23,1.4,6,1.3,6,1.3,6,1.3,6,1.6,7
14,436,436,9,3779,9,3784,9,3741,8,3669,6,2654,31,,19,6,5,4,27.8,60.6,44,27.1,16.5,6,3.5,2.9,8.1,3.4,6.1,27,6.1,27,6.1,27,6.1,27,6.1,27
15,690,690,3,2154,3,2141,3,2064,3,2010,3,2118,53,,20,5,35,5,79.4,86.7,8.8,5.4,4.2,5.2,2.4,1,5.1,1.7,4.2,29,4.2,29,4.2,29,3.6,25,3.6,25
16,724,725,7,4759,7,4750,6,4647,6,4587,5,3959,28,,26,4,10,2,31.6,56.7,44.6,29.4,3.1,5.3,3,2.7,17.6,6,2.6,19,2.1,15,2.1,15,2.1,15,2.1,15
17,454,454,7,3375,7,3387,7,3362,7,3047,7,3194,41,,19,6,14,3,7,15.4,73.9,73.9,3.3,6.4,2.3,1.8,13.5,2.6,2.2,10,2.2,10,1.7,8,1.7,8,1.7,8
18,615,615,5,3361,6,3433,5,3234,5,2968,3,2125,34,,21,5,8,3,83.6,81.8,10,13.1,2.2,1.1,1.6,1.1,2.6,2.9,8,49,8,49,9,55,9,55,9,55
19,838,838,4,3658,4,3654,4,3596,4,3480,5,3805,42,,18,4,21,3,88.2,93,4.1,1.8,2,2,1.8,1.4,3.9,1.7,2.6,22,2.6,22,2.6,22,2.9,24,2.9,24
20,399,399,8,3145,8,3145,8,3145,7,2975,3,1123,41,,19,6,16,4,76.9,87,5.7,4,6.7,3.8,2.2,1.4,8.6,3.8,3.2,13,4,16,4.2,17,4,16,4,16
21,912,912,3,3005,3,2984,3,2890,3,2622,2,2177,30,4,32,6,3,2,11.7,15.6,54.6,57.8,2.7,0.4,1.9,1.8,29.1,24.4,8.4,76,8.1,74,9.7,88,9.1,83,9.1,83
22,314,314,3,984,3,961,3,897,2,736,2,667,36,6,15,5,7,5,37.9,3.9,49.9,68.7,8.2,13.6,1.5,1.5,2.6,12.3,8.7,27,8.6,27,8.6,27,11.7,37,11.7,37
23,281,281,4,1113,4,1112,4,1081,4,1100,5,1413,35,21,17,11,8,4,40.3,57.2,44.3,32.4,1.7,3,4.5,1.5,9.3,5.9,13.5,38,14.5,41,14.5,41,14.5,41,14.5,41
24,180,180,6,1125,6,1129,7,1201,6,1129,7,1231,26,6,35,9,11,3,47.4,52.9,5.5,10.5,2.2,7.9,0.9,1.5,44,27.3,3.4,6,3.5,6,3.5,6,3.5,6,3.5,6
25,653,653,5,2974,5,2958,5,2958,4,2829,4,2604,42,1,25,6,12,3,85.9,91.1,3.8,3,4.7,3.4,1.7,0.8,3.8,1.7,4.5,30,4.5,29,4.5,29,4.5,29,3,20
26,1129,1128,3,3094,3,3096,3,3088,3,2980,3,2841,34,5,31,6,8,3,56.4,74.2,31.5,20.1,1.5,2.4,3.4,1.2,7.2,2.2,21.6,244,21.8,246,21.8,246,21.8,246,21.8,246
27,321,321,8,2716,8,2719,8,2719,8,2656,4,1187,38,4,19,7,9,3,36.9,68.5,32.1,17.6,3.9,4.1,2.6,2.9,24.6,6.9,5.7,18,6.4,21,6.4,21,6.5,21,6.5,21
28,194,194,6,1173,6,1197,6,1176,5,946,4,763,42,6,28,9,21,8,95.7,95.5,1.8,1.8,0.7,1.3,0.3,1.1,1.5,0.3,0.2,0,0.2,0,1.2,2,1.2,2,1.2,2
29,408,408,3,1237,3,1237,3,1240,3,1172,3,1076,45,7,19,5,23,5,88,92.8,2.9,2.2,2.9,1.6,1.6,1,4.6,2.4,3.8,16,3.2,13,3.2,13,3.2,13,3.2,13
30,477,477,5,2420,4,2091,3,1235,3,1204,3,1231,26,7,37,10,3,2,1.9,3.7,91.6,93.9,0.2,0,1.3,1.4,5,1,3.6,17,3.6,17,3.6,17,3.6,17,7.4,35
31,385,385,4,1674,4,1666,4,1650,4,1599,4,1631,45,4,23,5,14,4,94.8,97.1,1.3,1.3,1.3,0.9,1.3,0.5,1.4,0.3,1.3,5,1.1,4,1.7,6,1.7,6,1.7,6
32,87,87,4,337,4,337,4,337,4,317,3,295,56,12,4,8,25,16,77.6,91.9,9.5,5.1,0.6,0,3.2,2.4,9.1,0.7,14.4,37,0,0,0,0,0,0,0,0
33,259,259,5,1347,5,1347,5,1320,5,1259,4,1093,30,5,24,12,7,8,14.1,55.4,29.6,29.3,44.6,10.4,4.5,2,7.1,2.8,36.4,338,15.9,41,15.9,41,15.9,41,15.9,41
34,928,928,2,2217,2,2177,2,2098,2,1787,2,1703,47,15,21,10,11,4,32.3,54.5,47.4,37.5,3.4,2.2,2.7,1.8,14.2,4,44.8,1022,41.1,382,29.4,273,29.4,273,29.4,273
35,2279,2279,1,2126,1,1900,1,1673,1,1657,1,1156,38,9,25,8,16,4,62.8,92.4,20.4,3.5,2.8,1.5,2.3,1.4,11.8,1.3,4.4,26,45,1025,45,1025,47.9,1091,47.9,1091
36,594,594,5,2858,5,2854,4,2408,4,2268,4,2455,40,7,15,3,17,4,79.5,86.7,8.3,7.8,2.1,2.1,3,1.5,7.1,1.9,9.7,24,3.9,23,4.6,27,4.2,25,8.3,49
37,243,243,8,1857,8,1847,7,1788,7,1696,9,2308,31,4,28,5,7,2,10.7,2,78.7,87.6,4,5.2,3.2,1.2,3.4,4.1,12.8,239,9.7,24,9.7,24,9.7,24,9.6,23
38,1875,1887,1,2397,1,2397,1,2397,1,2319,1,2296,33,4,29,6,7,2,66.7,79.6,21.6,11.8,4,5.4,2.4,1.1,5.3,2.1,16.4,109,13,243,12.9,243,12.9,243,11.6,218
39,669,669,4,2865,4,2801,4,2716,4,2494,2,1447,32,5,34,4,10,4,27.4,62.3,47.3,30.6,2.4,2.2,2.9,1.6,20,3.3,5.6,19,16.3,109,16.3,109,16.3,109,16.3,109
40,348,348,9,3196,9,3171,9,3128,8,2868,3,1144,24,5,40,5,5,2,10.3,28,58.8,58.3,2.3,3.6,2.6,1.1,26.1,9.1,3.3,10,5.4,19,5.4,19,5.5,19,5.5,19
41,313,313,5,1569,5,1569,5,1569,5,1442,5,1588,40,8,24,7,12,3,75,84.3,11.2,7.9,3,1.4,2.4,2,8.5,4.5,0,0,3.3,10,3.3,10,3.3,10,3.3,10
42,352,352,7,2535,7,2526,7,2494,7,2331,7,2475,35,3,22,5,14,3,84.3,90.3,7.3,3.4,2.7,1.9,1.7,0.7,3.9,3.8,1.3,5,0,0,8.1,29,8.1,29,8.1,29
43,358,358,4,1569,4,1566,4,1514,4,1410,4,1414,36,6,26,11,10,4,81,87.8,7.4,3.8,3.1,3.7,1.3,1.1,7.2,3.7,8.4,19,1.4,5,6.2,22,6.2,22,6.2,22
44,223,223,4,920,4,899,4,876,4,819,3,731,28,2,23,13,3,3,74.1,90.3,10.1,3.2,3.9,3.6,3.8,0.8,8.1,2.2,35.5,343,8.5,19,12.2,27,12.2,27,12.2,27
45,965,952,4,3442,3,3315,3,3092,3,2617,0,171,34,2,33,5,5,2,48.6,97.2,22.4,0.1,13.2,0.5,3.1,1,12.7,1.5,1.5,4,35.6,343,36,343,35.4,337,42.8,407
46,287,287,9,2475,9,2471,9,2476,8,2238,6,1746,24,1,20,6,6,3,36.2,54.4,43.4,32.1,3.8,6.1,3.1,2.4,13.5,5,1.9,3,1.2,3,1.2,3,1.2,3,1.2,3
47,139,139,8,1170,8,1174,8,1170,7,1002,8,1080,37,7,13,8,19,8,72.7,84.9,8.6,5.6,12.8,7.1,1.4,0.7,4.6,1.8,16.4,311,1.8,3,1.8,3,1.8,3,1.8,3
48,1896,1896,1,1822,1,1834,1,1815,1,1761,0,585,33,6,31,3,7,2,27.6,75.4,38.2,18.3,2.4,1.7,2,1.5,29.7,3.1,12.6,151,16.4,311,16.4,311,16.4,311,16.4,311
49,1204,1204,2,2663,2,2627,2,2573,2,2405,1,1228,42,7,23,6,10,3,39.9,88.8,45.3,8.4,3.1,1.3,4.3,0.4,7.4,1.1,1.2,3,12.6,151,12.6,151,12.6,151,12.6,151
50,268,268,11,3071,12,3078,11,3016,11,2823,9,2493,31,6,30,6,8,2,13.8,31.1,38.6,55.9,8.4,1.5,1.9,3.3,37.3,8.2,8.3,24,1.2,3,1.2,3,1.2,3,1.2,3
51,282,282,5,1457,5,1384,5,1368,4,1211,3,848,32,2,4,2,6,4,48.9,10.9,44.3,85.6,2.6,0.2,2.3,1.4,1.9,1.9,3.4,17,8.4,24,8.4,24,8.4,24,8.6,24
52,501,501,3,1458,3,1457,5,2365,4,2017,5,2327,27,3,25,6,4,2,17.7,25.7,39.6,26.9,1.8,3.6,3.5,3.2,37.5,40.7,15.5,68,3.4,17,3.4,17,3.4,17,3.4,17
53,437,437,8,3511,8,3491,7,2980,6,2727,6,2650,30,4,31,5,8,3,6,9.3,57.5,75.9,0.6,0.5,1.8,1.8,34.1,12.6,32.4,270,16,70,16,70,15.9,69,15.9,69
54,834,833,2,1780,2,1771,2,1764,2,1587,1,1116,37,10,16,6,17,5,25.3,57.2,27.1,27.2,2.3,1.3,3,4.8,42.3,9.5,6.8,38,32.6,271,32.6,271,32.6,271,32.6,271
55,553,553,4,2028,4,2020,4,2001,4,1937,4,2115,43,6,21,6,19,7,75.8,80.8,6.1,4.6,5.4,10.3,3.1,1.6,9.4,2.7,13.3,39,7,39,7,39,7,39,7,39
56,293,293,3,775,3,775,3,765,2,694,2,700,50,2,19,7,17,8,75.2,81,9.2,8.4,2.2,7.1,2.4,0.9,11,2.6,9.4,16,14.2,42,14.2,42,14.2,42,14.2,42
57,168,168,10,1635,10,1611,10,1597,6,1071,11,1771,27,4,29,9,5,3,19.6,22.9,42.5,37.7,4.2,3.1,3.6,2.4,30.1,33.9,2.9,6,9.4,16,9.4,16,9.4,16,9.4,16
58,219,219,7,1519,7,1508,7,1521,6,1324,6,1355,29,5,33,6,8,3,19.8,32.4,47.4,26.9,4.4,3.9,1.8,3.2,26.6,33.6,14.7,51,2.9,6,2.9,6,2.9,6,2.9,6
59,345,345,7,2568,7,2515,7,2383,7,2388,7,2245,28,2,30,6,6,2,22.4,45.1,52.4,38.8,3.1,4.2,3.4,3.2,18.8,8.8,22.8,183,14.8,51,14.8,51,14.8,51,14.8,51
60,801,801,5,4352,4,3544,4,3225,4,3334,3,2561,22,1,8,4,1,1,39.9,60.1,22.9,18.7,17.7,5.4,3,2.7,16.5,13.2,10.4,31,22.8,183,22.8,183,23.2,186,23.2,186
61,301,301,4,1202,4,1200,4,1199,4,1156,3,756,24,5,23,4,3,2,45,54.4,40.3,32.7,4.3,6.7,3.5,2.1,6.8,4.2,9.3,35,16,48,16,48,16,48,16,48
62,291,291,3,5491,19,5404,18,5127,10,2808,11,3299,20,,1,1,0,1,66,61.1,22.6,31.1,3.3,3.5,2.7,2.3,5.3,2,36.1,130,0,0,0,0,0,0,0,0
64,382,382,12,4523,12,4491,11,4335,10,3827,6,2301,30,,9,,6,,42.8,57.4,34.6,22.4,7.3,10.7,3.6,2.5,11.6,7,7.7,28,9.3,35,9.3,35,9.5,36,9.5,36
65,361,361,5,1701,6,2212,5,1777,5,1638,1,351,29,1,13,5,3,3,50.8,71.2,25.5,12.8,15.7,5.4,4.4,2,3.7,8.6,38.9,39,38.5,139,43.5,157,38.5,139,38.5,139
66,368,365,7,2737,7,2725,7,2557,7,2587,6,2311,29,4,4,4,11,5,37.6,62.7,32.6,18.4,19.6,13.8,2.6,1.2,7.6,3.9,26.4,334,5.3,20,5.3,20,5.3,20,5.3,20
67,99,99,12,1170,12,1169,6,565,6,551,1,82,23,6,17,10,5,10,37.4,69.1,43.4,15.7,12,11.4,3.6,2.3,3.6,1.2,1,4,38.9,38,38.9,38,38.9,38,38.9,38
68,1265,1269,2,2479,2,2481,2,2479,2,2667,2,2603,38,4,21,6,10,5,49.8,65.5,28.2,22.7,3.5,3.8,3.7,2.1,14.8,5.9,2.1,6,26.4,334,26.3,334,26.3,334,26.3,334
69,380,380,3,1276,3,1118,4,1454,3,1181,3,1102,44,4,22,6,19,6,85.5,82.5,4.7,1.8,4.6,7.8,1.7,1.7,3.6,6.2,3.7,13,1,4,1,4,1,4,1,4
70,296,296,4,1288,4,1277,4,1258,4,1249,5,1342,51,5,15,11,21,4,1.9,2.2,95.8,96.5,0,0,1,0.9,1.2,0.4,25.8,300,2.1,6,2.1,6,2.1,6,2.1,6
71,355,355,12,4178,12,4161,12,4121,9,3265,7,2348,27,1,37,5,2,1,8.9,18.5,25.5,22.5,1.9,2.6,1.3,2.2,62.4,54.2,33.8,1380,2.9,10,2.9,10,2.9,10,2.9,10
72,1164,1163,2,2661,2,2766,1,1305,1,1278,0,548,37,4,17,6,2,2,48.1,65.7,39.4,23.5,3.7,5.5,3,3.3,5.9,2,1,2,25.8,300,25.8,300,25.8,300,25.8,300
73,4078,4079,1,2938,1,2855,1,2780,1,2854,0,1385,37,3,26,7,11,3,45.9,81.5,34.3,13,4.3,2.3,4.2,0.7,11.2,2.6,5.7,20,33.4,1360,33.4,1360,33.4,1360,33.4,1360
74,200,200,6,1140,6,1139,6,1117,5,1089,6,1132,48,17,6,4,15,6,81.5,86,8.4,7,1.3,2.4,2.1,1.7,6.7,3,20.9,271,1,2,1,2,1,2,1,2
75,343,339,6,2059,6,2059,5,1787,5,1639,0,80,42,6,29,9,8,4,71.6,93.8,12.1,2.5,6.2,3.8,3.2,0,6.8,0,28.1,287,5.7,20,17.4,59,6,20,6,20
76,1299,1296,3,3335,2,3193,2,2465,1,1935,1,987,39,6,28,6,4,2,56.4,88.2,26.5,5.3,6.5,3.5,2.4,1.2,8.2,1.9,9.3,59,19.4,252,19.4,252,19.4,252,19.4,252
77,1023,1026,6,5972,6,5972,5,5533,4,4224,0,344,30,4,26,6,5,2,37.6,78.2,32.6,15.4,4.4,3.5,2.6,0.6,22.8,2.3,1.9,1,28.1,287,28,287,28,287,28,287
78,634,630,3,2068,3,2052,3,1958,3,1679,2,1101,27,2,24,6,4,3,47.2,73,28,15.1,8.1,6.7,4.4,2,12.3,3.2,52.7,364,9.3,59,9.3,59,9.2,58,9.2,58
79,73,73,24,1744,24,1737,31,2282,21,1546,23,1718,29,3,31,4,1,1,3.2,7,22.7,38.8,0,1.1,0.6,2.3,73.5,50.9,14,27,1.9,1,1.9,1,1.9,1,1.9,1
80,689,689,3,2197,3,2196,3,2214,3,2050,1,483,25,3,15,10,1,2,39,73.4,41.6,16.2,7.4,6.4,2.8,0.9,9.2,3.1,26.5,99,52.7,363,52.8,363,52.8,363,52.8,363
81,191,193,6,1176,6,1176,6,1176,6,1128,4,792,35,6,19,7,8,5,53.3,73.4,26.3,13,6.5,8.7,2.3,2.2,11.6,2.8,59.7,1433,14,27,13.8,27,13.8,27,13.8,27
82,374,380,8,3175,7,2526,7,2526,5,1768,0,32,32,4,39,10,3,3,42,100,27.6,0,11,0,3.2,0,16.2,0,48.5,1205,26.5,99,26.1,99,26.1,99,26.1,99
83,2399,2399,0,852,0,848,0,850,1,1495,0,1008,31,7,32,9,11,3,43.5,79.4,7.6,14.8,7.8,1.2,3.8,1.8,37.3,2.8,8.6,24,59.7,1432,59.7,1432,59.9,1438,59.9,1438
84,2482,2485,0,635,0,695,0,728,0,628,0,838,48,8,19,12,16,7,72.9,68.8,13.4,23.6,3.2,0,1.6,2.1,8.9,5.5,1,1,48.5,1205,48.5,1205,48.5,1205,48.5,1205
85,276,276,7,1993,7,1980,7,1965,7,1791,7,1820,33,6,32,5,11,3,0.7,1,93.7,94.3,0.9,0.2,2.7,1,2,3.5,2.9,6,8.6,24,8.6,24,8.6,24,8.6,24
86,99,99,32,3145,32,3129,29,2896,23,2297,23,2323,28,1,27,6,5,2,8.3,9,40.1,61.4,16.9,2.4,3.5,3.7,31.2,23.5,11.2,48,1,1,1,1,1,1,1,1
87,196,196,8,1658,8,1655,9,1668,8,1554,7,1357,46,5,15,7,16,5,35.1,45.9,22.7,40.1,22.7,2.4,3,3.2,16.5,8.3,7.3,17,2.9,6,2.9,6,2.9,6,2.9,6
88,430,430,3,1214,3,1213,3,1279,3,1182,4,1620,30,7,26,6,8,3,5.1,6.8,82.4,85.9,8.7,4.2,1.9,2.2,1.9,0.9,3,8,11.3,48,11.3,48,11.3,48,11.3,48
89,238,238,6,1529,6,1531,6,1502,6,1456,6,1441,34,8,30,11,7,3,29.8,47.8,41.4,38.8,3.7,4.7,5.6,1.8,19.4,6.9,4.4,12,7.4,18,7.4,18,7.4,18,7.4,18
90,250,250,8,2002,8,1997,8,1969,7,1776,8,1978,31,3,24,6,7,3,26,35.2,28.1,22.2,5.7,2.4,1.6,1.7,38.6,38.5,19.7,54,3,8,3,8,3,8,3,8
91,283,283,9,2411,9,2410,8,2369,8,2250,7,2035,35,6,34,7,6,2,36.6,61.7,33.7,27.6,1.1,2.3,4.1,1.4,24.5,7,25.3,148,4.1,12,4.1,12,4.1,12,4.1,12
92,272,270,9,2406,9,2381,7,1894,6,1495,0,3,31,1,12,4,2,2,44,,40.5,,5.8,,3.1,,6.7,,16.9,111,19.8,54,19.9,54,19.9,54,19.9,54
93,586,586,2,1373,2,1365,2,1353,2,1236,2,1165,35,8,18,8,2,2,17.3,51.9,51.8,28.2,6.4,7.7,3.4,2.2,21.1,10,2.8,12,25.3,148,26.1,153,27.2,160,27.2,160
94,656,656,2,1101,2,1098,2,1089,2,1035,2,1177,40,6,24,5,12,2,3.8,3.9,75.7,92.4,1.4,0.6,1,1.2,18.2,1.9,28.2,203,16.9,111,16.9,111,16.9,111,16.9,111
95,442,444,4,1673,4,1673,4,1673,4,1597,2,1012,35,12,26,11,11,5,35.7,49.5,30.7,28.6,13.3,12.9,2.7,1.9,17.6,7.2,5,27,2.8,12,2.8,12,2.8,12,2.8,12
96,719,723,6,4417,6,4272,5,3410,4,3232,2,1750,33,3,26,6,6,2,28.5,47.7,41.6,39.4,6.5,5.6,2.7,1.4,20.7,6,28.9,463,28.2,202,28,202,28,202,28,202
97,549,544,7,3797,7,3794,7,3782,7,3551,4,2404,36,4,22,5,8,3,54.4,77.1,23.2,11.7,3.7,4.7,2.2,1.5,16.6,5.1,3.2,13,4.3,24,4.4,24,4.4,24,4.4,24
98,1602,1602,2,2820,2,2739,2,2648,1,2394,0,346,32,2,34,12,8,4,23.5,83.5,49.7,9.8,2.1,0,4.1,0.6,20.6,6.1,3,21,29,464,29.2,468,29.2,468,29.2,468
99,397,397,4,1534,4,1533,4,1538,4,1468,4,1638,41,3,17,5,15,4,64.5,75.2,20.1,14.5,4.1,4.5,2.2,1.7,9.1,4.2,6.6,8,3.4,14,2.8,11,2.8,11,2.8,11
100,719,719,2,1736,2,1724,2,1668,3,1813,3,1960,42,15,25,7,14,3,7.1,13.2,75.9,79.7,1.9,0.3,2.4,1.3,12.7,5.4,5.2,10,2.8,20,2.8,20,2.8,20,2.8,20
101,126,126,19,2339,18,2330,18,2284,14,1819,17,2183,26,5,34,5,1,1,1.5,3.4,34.2,46.1,0,0.3,1.3,0.6,63,49.5,19.6,26,6.7,8,6.7,8,6.7,8,6.7,8
102,197,197,8,1480,7,1474,7,1443,7,1337,7,1347,28,9,23,5,10,5,12.6,23.8,51.6,52.6,4.2,4.4,3.7,3.2,27.8,16.1,5.5,12,5.2,10,5.2,10,5.2,10,5.2,10
103,134,136,12,1572,12,1567,11,1514,10,1346,7,894,32,8,24,7,12,4,8.3,9.8,51.9,59.1,1.5,11.2,0.8,3.5,37.5,16.4,1.1,2,19.6,26,19.4,26,14.8,20,14.8,20
105,222,222,8,1701,6,1364,5,1031,4,847,2,507,36,4,14,7,13,6,62.1,58.8,21.7,33.5,5.4,3.9,2,3,8.7,0.8,3.5,6,5.4,12,10.1,22,10.1,22,10.1,22
106,152,152,11,1614,11,1615,10,1579,8,1256,10,1511,35,6,24,11,5,5,16.2,29.3,25.9,22.6,3.7,8.9,2.5,2.1,51.7,37.1,17.8,102,1.1,2,1.1,2,1.1,2,1.1,2
107,160,160,9,1404,14,2228,14,2228,12,1985,9,1425,27,2,20,8,3,2,28.8,55.8,44.3,23.9,2.1,6,7.1,2.3,17.7,12,16.4,204,3.1,5,3.1,5,5.5,9,5.5,9
108,572,572,3,1433,3,1436,3,1431,2,1319,2,1121,30,7,20,6,6,5,55.3,64,25.5,18.6,3.3,5,3,2.6,12.8,9.9,20.1,280,17.9,102,17.9,102,17.3,99,17.3,99
109,1246,1241,2,2554,2,2460,2,2304,2,2147,1,1126,38,5,30,9,8,3,66.4,92.2,25.9,2.8,3,2.8,1.6,1.1,3,1.2,38,285,16.4,204,16.5,204,16.5,204,16.5,204
110,1393,1393,1,1856,1,1844,1,1860,1,1671,1,807,39,11,19,7,13,4,57.9,93.1,30.6,4.6,2.4,1,2.2,0.1,6.9,1.3,31.3,512,20.1,280,20.1,280,20.1,280,20.1,280
111,752,764,4,3002,4,3194,4,2888,3,2274,1,451,36,4,30,6,6,3,24.7,59.7,41.2,25.1,12.1,8.4,2.8,1.3,19.2,5.5,17.6,235,37.9,285,37.5,287,26.9,206,26.9,206
112,1636,1629,1,1555,1,1468,1,1391,1,1280,0,733,39,3,23,8,14,6,49.3,93.5,38.9,3.2,5,1.8,2.3,0.7,4.5,0.9,21.9,144,31.3,512,31.4,512,31.4,512,31.4,512
113,1338,1335,3,4083,3,4007,3,3768,3,3630,1,929,31,3,31,5,3,2,23.9,76.2,62.2,19.9,2.3,1.2,3.4,1,8.1,1.7,8.9,64,17.6,235,17.6,235,17.6,235,17.6,235
114,658,655,2,1281,2,1251,2,1210,2,1206,3,1842,35,10,25,8,8,5,9,11.7,68.9,58.4,7,4.7,3.2,1.9,11.9,23.3,25.3,924,21.9,144,22,144,22,144,22,144
