NPA,Area,Area,Population_Density_2016,Population _2016,Population_Density_2015,Population _2015,Population_Density_2013,Population _2013,Population_Density_2010,Population_2010,Population_Density_2000,Population _2000,Age_of_Residents_2015,Age_of_Residents_moe_2015,Youth_Population_2015,Youth_Population_moe_2015,Older_Adult_Population_2015,Older_Adult_Population_moe_2015,White_Population_2010,White_Population_2000,Black_Population_2010,Black_Population_2000,Asian_Population_2010,Asian_Population_2000,All_Other_Races_2010,All_Other_Races_2000,Hispanic_Latino_2010,Hispanic_Latino_2000,Vacant_Land_2017,Vacant_Land_Area_2017,Vacant_Land_2016,Vacant_Land_Area_2016,Vacant_Land_2015,Vacant_Land_Area_2015,Vacant_Land_2013,Vacant_Land_Area_2013,Vacant_Land_2011,Vacant_Land_Area_2011
115,718,718,7,4927,7,4849,6,3958,5,3312,2,1135,34,3,36,5,5,3,80.8,89.4,6.5,2.2,6.3,3.7,2.1,1.4,4.3,3.4,6.4,63,9,64,9,64,19.5,140,19.5,140
116,3659,3659,1,3870,1,3774,1,3514,1,2817,0,1335,29,2,32,5,6,2,13.2,21.8,39,58.5,1.9,1.4,1.7,3.2,44.2,15.1,4,13,25.3,927,25.3,927,25.3,927,25.3,927
117,990,990,4,4052,4,3980,4,3762,3,3308,1,622,27,2,31,6,2,1,14.4,68.9,67.2,15.9,2.3,5.9,1.7,2.6,14.4,6.7,16.1,164,6.3,63,6.3,63,6.2,62,6.2,62
118,320,320,4,1256,4,1238,4,1204,4,1159,4,1193,44,5,29,6,13,4,84.6,90.5,3.9,2.2,5.7,3.1,1.1,1.6,4.7,2.6,11.7,45,4,13,4,13,4,13,4,13
119,1018,1018,1,1360,1,1354,1,1340,1,1311,1,1083,36,6,22,8,9,5,41.1,69.7,23,7.9,21.1,18.9,3,2.5,11.9,1,8.4,39,12,122,22.7,231,22.7,231,22.7,231
120,383,383,4,1468,4,1510,4,1479,4,1451,2,711,24,6,45,4,12,3,1,1.1,92.2,97.9,1,0,2.6,0.8,3.2,0.1,1.6,62,11.7,45,11.7,45,11.7,45,11.7,45
121,463,462,5,2281,5,2275,5,2255,4,2072,3,1601,36,8,22,6,9,4,21.6,33.4,49.1,52.5,2.8,2,2.1,2.7,24.3,9.4,13.8,167,8.4,39,8.4,39,8.4,39,8.4,39
122,3815,3804,0,0,0,0,0,0,,,0,117,,,,,,,,72.7,,17,,2.8,,3,,4.2,11.9,84,1.6,62,1.6,62,1.6,62,1.6,62
123,1213,1213,2,2541,2,2530,2,2535,2,2443,2,2280,32,6,23,8,20,3,1.8,2.6,91.8,96.3,0.3,0,1.8,0.4,4.3,0.7,13.2,134,13.8,167,13.8,167,13.8,167,13.8,167
124,708,708,3,2045,3,2070,3,2035,3,1809,3,2014,36,,22,6,14,4,18.6,29.6,68.2,58.3,2.8,4.3,4.3,1.6,6.2,6.2,81.2,114,11.7,83,11.7,83,11.7,83,11.7,83
125,1019,1020,3,2967,3,2939,3,2841,3,2935,1,1370,27,6,36,8,6,2,14.4,41.6,70.3,48.3,3,4.9,3.2,1.6,9.1,3.6,26.4,119,13.2,134,13.1,134,13.1,134,13.3,136
126,141,141,4,623,4,539,3,358,0,13,7,929,42,37,29,15,29,24,0,1.2,100,84.9,0,0.2,0,0.5,0,13.3,5,14,80.6,113,81.4,114,50.5,71,50.5,71
127,449,449,5,2400,5,2371,5,2363,6,2613,5,2214,30,3,28,7,8,3,20.4,44,45.2,28.9,2.4,1.7,2.2,1.9,29.7,23.7,0,0,26.4,119,26.4,119,10.5,47,10.5,47
128,269,269,11,2917,11,2887,11,2854,9,2503,10,2761,31,4,31,6,8,3,13.2,24.2,42.2,44.8,3.4,5.3,2.4,1.2,38.8,24.5,31,1120,5.2,14,5.2,14,5.2,14,5.2,14
129,485,485,5,2229,5,2227,5,2183,5,2184,5,2323,41,3,32,7,11,3,92.3,93.9,2.8,2,1.6,2.5,1.1,0.5,2.2,1.2,13.2,36,0,0,0,0,0,0,0,0
130,3618,3617,1,1808,1,1808,0,1787,0,1535,0,1318,52,2,11,4,21,5,87.2,93.3,6.1,3.6,2.4,1.2,1.5,1.2,2.8,0.8,0.4,1,31,1120,31,1120,31,1120,31,1120
131,270,270,8,2157,8,2130,7,1968,7,1806,7,1849,36,3,24,6,6,4,53.7,70.8,23.1,18.8,4.3,4.2,2.4,1.5,16.5,4.8,2.5,4,13.3,36,13.3,36,13.3,36,13.3,36
132,189,189,3,527,3,529,3,515,2,458,3,593,53,8,3,6,10,9,86,77.4,5.5,10.5,2,1,0.9,1.4,5.7,9.8,11.7,14,0.4,1,0.4,1,0.4,1,0.4,1
133,159,159,7,1086,7,1080,7,1070,6,983,6,934,33,4,19,9,3,3,90,91.9,3.2,3.6,2,1.9,1.2,0.3,3.6,2.3,4.8,7,2.6,4,2.6,4,2.6,4,2.6,4
134,116,116,11,1265,11,1252,11,1218,7,794,8,965,34,10,32,17,4,4,24.1,45.7,43.6,43.2,3.9,2.5,3.7,1.5,24.8,7.2,14.1,97,11.7,14,11.7,14,11.7,14,11.7,14
135,141,141,9,1268,9,1284,9,1265,9,1248,9,1236,29,7,23,9,8,3,17.5,39.8,65.1,54,0.9,1,2.2,2,14.3,3.2,20.5,144,4.8,7,4.8,7,4.8,7,4.8,7
136,689,689,3,2134,3,2094,3,2033,3,1848,0,288,35,6,30,7,5,4,67.3,94.7,21.8,2.4,1.8,0,3,1.8,6.1,1,7,36,14.1,97,14.1,97,14.1,97,14.1,97
137,701,729,2,1723,2,1719,2,1698,3,1839,1,627,28,11,45,5,3,3,14.9,68.6,51.8,4,1.8,8.9,2.6,2.1,28.9,16.4,19.5,125,20.5,144,19.8,144,19.8,144,19.6,143
138,509,509,2,768,2,765,2,766,1,704,1,596,28,11,34,5,4,3,21.7,40.8,38.5,40.6,4.8,1.9,3.7,1.2,31.3,15.6,13.5,141,7,36,7,36,7,36,7,36
139,638,637,3,1674,3,1666,3,1673,2,1475,1,700,44,5,16,7,17,6,5,13.6,82.5,82.4,1.4,0,2.8,1.7,8.3,2.3,12.6,85,19.5,125,19.6,125,19.6,125,19.6,125
140,1045,1045,3,2944,3,2956,3,2684,2,2557,2,2117,37,2,24,5,13,3,30.3,52,47.2,41.4,4.8,2.4,2.3,0.9,15.4,3.3,1.9,8,13.5,141,13.5,141,13.5,141,12.4,130
141,679,681,1,967,1,961,1,990,1,881,1,713,35,4,26,8,11,6,17.1,34.1,62.9,47.1,3.3,6.2,1.8,3.5,14.9,9.1,1.7,5,12.5,85,12.5,85,12.5,85,12.5,85
142,442,442,6,2664,6,2635,6,2587,5,2366,5,2081,34,5,20,7,7,3,32.4,52.7,47.8,39.1,1.9,1.7,3.6,1.6,14.2,4.9,19.1,47,1.9,8,1.9,8,1.9,8,1.9,8
143,293,293,5,1354,5,1362,5,1354,5,1323,5,1334,60,6,14,7,40,8,93.3,95.9,1.7,1.2,1.9,1.2,1.3,0.6,1.9,1.1,14.8,77,1.6,5,2.5,7,2.5,7,2.5,7
144,246,246,9,2135,9,2113,8,2030,8,2055,8,1993,32,5,26,7,11,3,31.8,52.9,41.9,30.4,2.5,2.7,4.3,1.9,19.5,12.1,11.7,51,17.2,42,28.6,70,31.7,78,31.7,78
145,520,520,3,1705,3,1695,3,1667,4,1875,3,1501,29,7,29,7,5,2,36.7,75,31.5,17,1.8,1.5,4.6,3.2,25.4,3.3,9.6,44,14.6,76,14.6,76,14.6,76,14.6,76
146,434,434,4,1884,4,1867,4,1816,4,1701,2,1061,41,7,23,6,14,3,38.6,74.4,33.9,17.4,5.3,2.3,2.1,1.7,20.2,4.3,4,24,11.9,52,11.9,52,12,52,11.9,52
147,455,455,5,2340,5,2310,5,2234,4,2024,4,1944,41,9,18,6,13,4,39.7,65.6,36.2,24.3,3,3,4.2,1.7,16.9,5.4,11.4,31,9.7,44,9.7,44,9.5,43,9.7,44
148,597,597,4,2463,4,2465,4,2460,4,2146,3,1668,41,3,30,5,12,3,85.1,92.5,6.1,2.6,4.5,2.7,1.2,0.9,3.1,1.4,8.2,46,4,24,4,24,4,24,4,24
149,276,276,3,909,3,909,3,765,2,643,0,62,35,16,33,9,16,3,71.4,93.6,8.6,4.8,9,1.6,2.6,0,8.4,0,3.3,17,11.4,31,11.4,31,11.4,31,11.4,31
150,558,558,3,1853,3,1845,3,1833,3,1758,2,851,33,7,30,7,3,2,11.9,31.1,64.8,53.2,3.9,7.1,1.9,2,17.4,6.6,29.6,176,8.2,46,8.2,46,8.2,46,8.2,46
151,535,535,6,3472,6,3472,6,3436,6,3227,1,574,35,1,33,7,5,3,66.2,88,7,4.4,18.7,3.8,1.7,0.9,6.4,3,9.2,75,3.3,17,3.3,17,3.3,17,6.3,34
152,594,591,1,806,1,808,1,817,1,742,1,507,30,8,30,10,4,3,30.7,45.1,52.3,44.3,5.4,4.9,3.4,1.6,8.2,4.1,8.7,63,29.6,176,29.7,176,29.7,176,31.2,184
153,813,813,5,3908,5,3908,5,3908,5,3753,1,728,36,3,30,4,7,3,28.8,68.8,37.4,21.5,25,5.5,3,2.1,5.7,2.2,37.9,472,9.2,74,9.2,74,9.2,74,9.2,74
154,730,731,4,3006,4,3006,4,3009,4,2920,3,2118,37,4,25,7,6,3,43.2,68.8,29.5,20.4,18,6.7,2.7,1.8,6.5,2.3,29.7,332,9.9,73,9.5,69,8.5,62,9.9,73
155,1246,1246,2,2859,2,2759,2,2695,2,2383,1,1297,29,2,25,5,4,2,36.3,59.1,43.3,29.7,4.2,4.6,3.9,2.3,12.3,4.2,6.7,38,37.2,463,37.2,463,37.2,463,37.2,463
156,1117,1117,3,3670,3,3534,3,3299,3,2958,0,461,31,5,34,7,6,3,23.3,78.4,62.4,19.5,2.5,1.5,2.9,0.4,8.9,0.2,6.7,83,29.7,332,29.7,332,29.7,332,29.7,332
157,572,572,2,1306,2,1222,3,1737,3,1531,3,1643,37,9,23,1,10,2,9.4,3.8,84.6,75.1,0.5,0.7,1.1,1.2,4.4,19.4,28.5,139,6.7,38,6.7,38,4.5,26,4.5,26
158,1231,1221,3,3662,3,3658,3,3601,3,3368,1,1697,31,4,25,6,6,2,9.8,26.7,77.8,68.2,2.3,2.2,2.8,1.3,7.4,1.6,6.9,54,6.7,83,6.8,83,6.8,83,6.8,83
159,489,489,2,1113,2,1086,2,1035,2,909,1,674,36,8,21,7,9,5,2.5,3.6,91.2,93.3,1.4,0.2,2.3,1,2.5,1.9,2.9,9,28.5,139,28.5,139,28.5,139,28.5,139
160,776,776,4,2905,4,2901,4,2868,3,2707,3,2595,34,11,23,7,12,3,6.3,12.7,81.4,82,2.2,2.2,1.8,1.2,8.3,1.9,5.1,19,7,54,7,54,7,54,7,54
161,294,294,9,2683,9,2657,9,2627,9,2548,8,2379,31,3,23,8,4,2,34.5,62,45.3,20.1,1.6,3.4,4.5,3,14.1,11.5,11.7,20,2.9,9,2.9,9,2.9,9,2.9,9
162,368,368,5,1947,5,1940,5,1911,5,1822,4,1652,33,5,29,6,5,2,21.5,45.6,53,46.6,1,1.4,4.1,2.5,20.4,3.9,1.5,10,4.9,18,3.9,14,3.9,14,3.9,14
163,174,174,5,892,5,902,5,860,5,818,5,922,32,4,17,5,5,4,56.4,38.9,37.2,55.6,2.6,2.3,1.7,2.4,2.2,0.8,11.8,21,11.7,20,11.7,20,12.3,21,13.2,23
164,642,642,7,4798,7,4668,8,4812,6,3664,6,3847,27,,31,5,7,2,17.9,32.5,29,41.4,2.2,3,2.6,4,48.3,19.1,12.3,19,1.5,10,1.5,10,1.5,10,1.4,9
165,181,181,14,2457,14,2463,13,2421,11,1991,9,1647,30,3,21,7,5,4,5.3,24.1,55.5,56.9,4.2,2.8,3.3,2.9,31.7,13.3,34.1,63,11.8,21,11.8,21,11.8,21,11.8,21
166,151,151,8,1263,8,1268,8,1244,6,946,5,733,30,15,32,9,7,7,11.9,34.4,69.3,56.4,2.5,1.6,1.5,3.3,14.7,4.4,1,2,12.3,19,12.3,19,12.3,19,12.3,19
167,184,184,4,807,4,808,4,794,4,765,3,569,30,4,22,10,3,3,9.9,32.5,58.3,54.8,4.3,2.3,3.4,3.1,24.1,7.2,5.3,13,33.9,62,33.9,62,33.9,62,33.9,62
168,228,228,7,1611,7,1590,7,1570,6,1430,7,1560,46,10,13,6,20,7,19.9,34.8,54.7,52.1,5.7,4,2.9,3.3,16.8,5.8,10.5,50,0.5,1,0.5,1,0.5,1,0.5,1
169,245,245,10,2374,9,2191,9,2114,8,1972,0,106,38,5,29,7,9,6,56.2,91.5,12.2,4.7,18.9,0.9,3.5,1.9,9.2,0.9,1.5,4,5.2,13,5.2,13,8.2,20,8.2,20
170,475,475,4,1830,4,1833,4,1827,4,1722,2,734,41,8,39,12,9,3,77.1,83.3,6.4,3.9,9.9,7.3,1.7,1.2,4.9,4.3,4.4,41,10.5,50,10.5,50,10.9,52,10.9,52
171,286,286,3,999,3,899,3,911,3,853,3,755,38,7,23,6,18,8,68.8,85.3,12.7,3.4,9,7.3,1.9,0.5,7.6,3.4,22.8,86,1.5,4,1.5,4,1.5,4,3.8,11
172,942,942,3,3070,3,3062,3,2932,3,2538,0,24,35,3,37,6,3,2,59.1,12.8,9.2,87.5,22.2,0,1.8,0,7.7,0,48.6,1545,4.4,41,4.5,43,5.5,52,5.5,52
173,380,380,3,1199,3,1147,3,1074,3,952,1,421,29,5,37,5,3,3,9.5,33.3,73.5,58.2,4.5,3.1,3.6,2.9,8.9,2.6,3.9,20,22.8,87,22.8,87,22.8,87,22.8,87
174,3178,3179,1,1723,1,1723,1,1732,1,1584,0,675,37,11,26,8,7,3,43,84.2,25.1,6.5,7.5,6.5,3.2,1,21.2,1.8,2.1,10,48.6,1545,48.7,1547,49.7,1578,49.7,1578
175,521,521,4,1827,4,1830,3,1813,3,1741,4,1886,47,5,19,5,13,4,89.4,92.4,2.9,2.6,2,2,1.4,0.9,4.4,2,1.4,7,3.9,21,3.9,21,3.9,21,3.9,20
176,469,469,6,3035,6,3033,6,3033,6,2961,3,1228,37,3,34,6,9,4,73.3,90.1,6,3.4,12.3,2.8,2.9,1.1,5.6,2.6,16.9,343,2.1,10,2.1,10,2.1,10,2.1,10
177,507,507,4,1881,4,1870,4,1849,4,1979,4,1917,51,8,16,7,30,6,89.5,93.7,3,1,2.6,2.7,2.1,1.5,2.7,1.3,3.9,19,1.5,7,1.5,7,1.5,7,1.5,7
178,2025,2022,1,2733,1,2431,1,2114,1,1824,0,672,29,1,8,3,2,1,29,67.7,19.1,14.7,42.1,6.6,2.6,2.4,7.2,8.6,12.2,36,16.9,343,17,343,17,343,17,343
179,502,502,3,1601,3,1621,3,1613,3,1581,3,1667,38,7,29,10,16,5,92.9,91.7,2.5,5.3,1.7,1.7,1.4,0.5,1.5,0.8,2.7,28,3.9,19,3.9,19,3.9,19,3.9,19
180,299,299,5,1507,5,1446,4,1300,4,1220,3,912,32,9,28,7,8,4,29,61.7,32.2,27.4,5,3.7,2.2,1.8,31.6,5.5,5.9,13,12.4,37,12.4,37,12.4,37,12.4,37
181,1021,1021,3,2876,3,2865,3,2790,2,2516,3,2551,43,4,22,6,16,3,83.8,88.3,6.6,4.3,3.1,2.9,1.8,1.1,4.7,3.4,19.3,43,2.7,28,2.7,28,2.7,28,2.7,28
182,218,218,4,788,4,779,4,779,3,737,4,894,49,4,14,5,14,3,1.6,0.1,95.5,99.3,0.8,0,0.9,0.5,1.1,0.1,2,5,5.9,13,5.9,13,5.9,13,5.9,13
183,223,223,4,865,4,869,4,848,4,805,3,633,22,13,45,12,6,3,16.4,32.5,55.2,51.9,1.6,3.8,4.1,2.6,22.7,9.2,6.9,9,19.3,43,19.3,43,19.3,43,19.3,43
184,234,234,6,1370,6,1369,6,1341,5,1263,6,1358,34,2,23,6,7,3,90.3,82,3.9,11.3,1.1,1.4,2,3.2,2.8,2.1,9.2,58,1.8,4,1.8,4,1.8,4,1.8,4
185,131,131,23,3066,23,3002,23,2951,21,2748,17,2187,28,1,20,5,1,1,13.5,54.4,35,23.3,1.6,5.4,2.3,2.6,47.6,14.2,0.9,1,6.9,9,6.9,9,6.9,9,6.9,9
186,635,635,4,2500,4,2472,4,2421,4,2356,3,2034,34,7,29,6,7,2,29.8,51.3,40.8,35.1,3.1,4.5,2.8,3,23.5,6.2,9,33,8.8,56,8.8,56,8.8,56,8.8,56
187,158,157,6,1004,6,1004,6,1004,6,959,3,533,44,8,19,12,9,7,70.9,82.4,8.4,4.9,10.1,8.3,3.3,1.7,7.2,2.8,11.8,78,0.9,1,0.9,1,0.9,1,8.2,13
188,363,363,5,1728,5,1720,5,1687,4,1494,1,540,37,6,29,9,7,4,66.6,85.6,10.1,5.6,13.1,5.4,2.6,2.8,7.6,0.7,10,43,9,32,9,32,9,32,9.1,33
189,82,82,12,1024,12,1024,12,1024,12,956,11,898,37,5,39,7,4,4,56.4,83.1,19.5,5.8,8.2,4.5,3,2.1,13,4.6,23.8,331,0,0,0,0,0,0,0,0
190,665,665,2,1049,2,1045,2,1036,1,915,1,561,33,11,22,9,7,5,22.6,44.4,62.5,46,3.1,3.6,3.5,3.4,8.3,2.7,1.4,4,11.8,78,11.8,78,11.8,78,11.8,78
191,425,425,6,2360,6,2354,6,2335,5,2273,5,2059,36,7,23,7,8,3,52.7,72.8,35.3,21.3,2.2,2.2,2.8,1,7,2.7,4,30,10,43,10,43,10,43,10,43
192,1390,1390,2,2585,2,2390,2,2209,1,1820,1,831,35,4,24,6,4,2,26.9,60.5,50.2,31.2,6.9,4.8,2.6,0.6,13.4,2.9,44.5,483,23.8,331,23.8,331,23.8,331,23.8,331
193,305,305,4,1329,4,1331,4,1329,4,1209,4,1113,34,6,24,7,14,6,81.4,92.5,11,3.7,2.4,1.8,1.7,1.1,3.5,0.9,12.3,119,1.4,4,1.4,4,1.4,4,1.4,4
194,736,736,4,3012,4,2985,4,2970,4,2810,3,2309,40,3,33,4,7,2,83.9,89.7,4.8,4.5,5.7,3.6,2,0.5,3.7,1.8,6.8,22,3.9,29,3.9,29,3.9,29,3.9,29
195,1087,1117,2,2085,2,2080,2,2090,2,2120,0,210,31,6,23,5,4,2,48.8,86.4,31.3,10,7.8,2.4,2.7,0.6,9.3,0.6,6.9,22,44.5,483,43.3,483,45.9,512,49.1,549
196,965,965,2,2233,2,2195,2,2162,2,1961,0,401,30,3,31,8,5,3,16.2,84,65.4,10.3,1.6,0.4,1.9,2.8,14.9,2.6,13.3,51,12.6,121,12.6,121,12.6,121,12.6,121
197,318,318,8,2604,8,2593,8,2547,8,2403,6,1877,34,5,25,6,11,4,20.1,44.7,38.2,44.8,3.6,3,3,2.1,35.1,5.4,5,5,6.8,22,6.8,22,6.8,22,6.8,22
198,319,319,5,1650,5,1645,5,1604,4,1328,4,1328,51,15,17,9,37,8,83.3,84.9,12,12.9,1.2,0.8,0.8,0.5,2.7,1,3.5,29,7.1,23,7.1,23,7.1,23,7.1,23
199,384,384,8,3116,8,3117,7,2838,7,2742,5,2054,29,12,42,6,5,3,6.6,11.3,59,59.8,1.6,2.9,2,2.2,30.8,23.9,2.1,5,13.3,51,13.3,51,13.3,51,13.3,51
200,90,90,7,611,7,604,6,569,7,588,9,791,17,7,53,10,0,2,4.4,6.1,89.3,91.9,0.3,0.4,2.6,1.4,3.4,0.3,36.8,192,5.1,5,5.1,5,5.1,5,4.5,4
201,823,819,4,2912,4,2922,4,2905,3,2716,2,1999,38,6,28,7,11,4,82,84.3,4.5,3.9,6.5,6.9,2.6,1.9,4.5,3.1,11.4,29,3.4,28,3.5,29,3.5,29,3.5,29
202,255,255,9,2362,9,2342,9,2274,9,2212,8,1922,26,5,37,6,2,2,14.1,33.2,42.5,43.4,6,6.8,2.1,2,35.3,14.6,24.9,88,1.8,5,1.8,5,1.8,5,1.8,5
203,521,521,4,1931,4,1869,3,1819,3,1612,1,431,35,5,28,6,9,4,43.9,95.1,28.2,1.4,4,1.8,1.9,0.9,22,0.7,0.2,0,36.8,192,36.8,192,36.8,192,36.8,192
204,250,250,6,1390,6,1390,6,1390,5,1332,3,667,37,9,25,7,11,6,79.5,83.3,5.5,3.4,5.4,8.4,2,1.1,7.7,3.8,12.9,66,13,32,13,32,18.9,47,18.9,47
205,353,353,3,958,3,942,3,936,3,882,2,738,48,7,25,8,8,5,89.3,89.2,3.9,3.9,3.7,3.7,1.4,1.3,1.7,2,1.7,9,28.6,101,28.6,101,28.6,101,28.6,101
206,136,136,10,1353,10,1353,10,1353,10,1297,9,1197,32,3,34,8,6,3,79.9,88.1,4.2,3.3,8.9,4.3,1.8,1.6,5.2,2.7,20.2,169,0.2,0,0.2,0,0.2,0,0.2,0
207,507,508,5,2548,5,2573,4,2134,3,1617,0,17,29,2,9,7,2,2,46.1,72.5,34.4,23.5,7.7,0,3,5.9,8.8,0,10.5,18,12.9,66,12.9,66,12.9,66,17.5,89
208,512,512,4,1933,4,1928,4,2059,4,1885,3,1720,44,2,31,5,12,4,94.1,98.4,1.1,0.2,1.3,0.2,1.4,0.3,2.1,0.9,7.3,40,1.7,9,2.5,13,2.5,13,2.5,13
209,838,838,5,4035,4,3204,3,2924,3,2707,1,1142,34,4,26,7,6,2,26,51.9,50.3,42.2,4.5,2.9,2.8,1.4,16.4,1.6,9.1,49,20.2,169,20.9,175,23.6,197,23.6,197
210,174,174,13,2222,11,1876,11,1866,8,1441,7,1215,38,8,13,8,14,4,81.7,80.2,6.8,12.3,5.6,4.5,1.9,1,4,2.1,0.6,2,10.6,18,12,21,14.9,26,14.9,26
211,551,551,5,2601,5,2545,5,2516,4,2380,2,894,39,4,26,6,4,2,22.4,64.5,62.8,30.2,2.9,2.6,3.2,0.5,8.7,2.2,9.2,28,6.9,38,6.9,38,6.9,38,6.9,38
212,534,534,3,1399,3,1390,3,1372,2,1278,3,1406,33,5,29,8,15,5,12.8,24.3,37.1,37.3,4.4,7.6,2.3,1.2,43.4,29.5,4.9,10,9.1,49,9.1,49,9.1,49,9.1,49
213,323,323,5,1536,5,1591,5,1583,5,1680,4,1343,39,3,33,8,20,4,92.1,93.6,1.7,2.2,2.2,1.6,1.4,0.6,2.6,2,5.2,22,0.6,2,0.6,2,0.6,2,0.6,2
215,302,302,3,874,3,871,3,852,3,819,3,891,46,14,31,13,17,9,92.3,95.4,0.4,0.8,2.1,1.7,2.1,0.5,3.2,1.7,2.4,13,9.4,28,10.2,31,10.4,31,12.5,38
216,206,206,4,822,4,814,4,809,4,779,3,706,35,24,28,13,16,7,86.6,90.7,6,3.8,3,2.6,2.2,1.6,2.2,1.4,13.6,152,4.9,10,4.9,10,6.2,13,6.2,13
217,418,418,3,1302,3,1294,3,1264,3,1208,3,1174,39,11,23,7,20,7,92.6,96.9,0.8,0,3.1,0.9,1.7,0.4,1.7,1.7,2.7,12,5.1,21,5.1,21,5.1,21,5.1,21
218,514,514,5,2345,5,2673,5,2663,5,2619,5,2324,33,6,28,7,12,4,59.7,81.3,26.2,10.9,5.9,3.4,2.5,1.4,5.7,3,13.7,58,2.4,12,2.4,12,2.4,12,2.4,12
219,1122,1122,2,2456,2,1916,2,1901,1,1653,2,1722,22,1,4,2,0,1,56.5,69.9,23.7,16.3,10.5,6.5,3.4,3.7,6,3.7,1.6,5,13.6,152,13.6,152,13.6,152,13.6,152
220,430,430,4,1780,4,1770,4,1751,4,1692,4,1794,34,6,28,5,15,4,60.2,77.8,22.1,14.1,2.2,1.6,2.9,2.2,12.6,4.2,3.9,11,2.7,12,2.7,12,2.7,12,2.7,12
221,423,423,6,2700,5,2300,5,2293,5,2138,3,1290,32,4,17,7,4,3,27.1,67.3,54.4,21.9,3.6,5.1,3.5,2.4,11.4,3.3,20.4,267,13.7,58,13.7,58,13.7,58,13.7,58
222,312,312,5,1582,5,1577,5,1579,5,1522,5,1415,47,6,15,5,21,4,85.5,91.7,2.6,3.5,5.3,2.7,2.3,1,4.3,1.2,0.5,1,1.5,5,1.5,5,1.5,5,1.5,5
223,292,292,7,1906,7,1927,7,1903,6,1875,7,1973,31,15,33,8,13,6,16.7,24.2,62.2,65.6,4.5,3.6,2.1,2.3,14.5,4.3,12.6,75,4,12,4,12,4,12,4,12
224,385,385,6,2358,6,2358,6,2358,6,2226,6,2318,33,9,18,6,8,4,70.3,82.9,12.9,5.7,3.3,4.8,3.1,1.6,10.4,5,55.6,461,0,0,0,0,0,0,0,0
225,1313,1312,1,1355,1,1355,1,1350,1,940,1,667,35,4,30,9,10,4,61.6,78.1,21.9,14.1,2.7,3.8,3.1,2.1,10.7,2,29.5,397,20.4,267,21.7,285,21.7,285,21.7,285
226,116,116,8,870,8,870,7,865,6,744,7,770,36,11,20,12,5,3,65.9,81.2,17.6,10.4,1.5,2.2,3,0.7,12.1,5.6,18.1,50,0.4,0,0.4,0,0.4,0,0.4,0
227,593,593,4,2536,4,2546,4,2504,4,2414,2,1239,36,7,29,8,4,2,30,60.3,51.3,30.8,1.4,1.9,2.9,2.7,14.3,4.4,12.7,159,12.3,73,12.3,73,12.3,73,12.2,72
228,829,829,1,545,1,545,1,539,1,621,0,154,32,4,38,5,1,3,27.9,77,52.7,12.7,3.1,1.7,3.1,3.1,13.4,5.2,19.8,93,54.7,454,54.7,454,54.7,454,54.7,454
229,1346,1346,2,2393,2,2149,1,1779,2,2096,1,1150,39,11,27,6,9,4,43.3,72,26,19.5,1.4,0.5,2.9,1.5,26.3,6.5,5.3,35,29.3,395,29.3,395,29.3,395,29.4,396
230,275,278,9,2457,9,2447,7,2071,6,1769,4,1142,29,3,16,10,3,2,22.5,21.5,46.5,68.5,13.8,3.9,2.5,2.6,14.7,3.6,29.9,387,17.8,49,17.6,49,17.6,49,17.6,49
231,1247,1222,2,2801,2,2775,2,1839,1,1662,1,773,37,5,28,7,12,5,44.1,71.6,39.5,16.8,5.9,8.3,3,1.2,7.5,2.1,2.4,12,12,149,12.5,153,13.1,160,18.5,227
232,469,468,6,2589,5,2557,5,2538,5,2515,2,1106,35,2,29,8,6,4,40.1,71.3,37,19,4.4,3.4,2.4,1.4,16,5.1,7.9,57,18.6,87,18.6,87,18.6,87,25.5,119
