NPA,Area,Area,Population_Density_2016,Population _2016,Population_Density_2015,Population _2015,Population_Density_2013,Population _2013,Population_Density_2010,Population_2010,Population_Density_2000,Population _2000,Age_of_Residents_2015,Age_of_Residents_moe_2015,Youth_Population_2015,Youth_Population_moe_2015,Older_Adult_Population_2015,Older_Adult_Population_moe_2015,White_Population_2010,White_Population_2000,Black_Population_2010,Black_Population_2000,Asian_Population_2010,Asian_Population_2000,All_Other_Races_2010,All_Other_Races_2000,Hispanic_Latino_2010,Hispanic_Latino_2000,Vacant_Land_2017,Vacant_Land_Area_2017,Vacant_Land_2016,Vacant_Land_Area_2016,Vacant_Land_2015,Vacant_Land_Area_2015,Vacant_Land_2013,Vacant_Land_Area_2013,Vacant_Land_2011,Vacant_Land_Area_2011
233,662,662,4,2554,4,2556,4,2558,4,2381,2,1601,34,5,23,5,10,3,76.2,85,10.3,3.5,6,9.9,2.3,0.8,5.1,0.8,14.7,141,5.3,35,5.3,35,5.3,35,5.3,35
234,1295,1294,2,2636,2,2624,2,2551,3,3678,2,2906,35,4,29,5,10,2,29.2,59.4,28.9,23.5,3.5,3,3.1,2.8,35.3,11.4,8.3,46,29.9,387,29.9,387,29.9,387,29.7,384
235,492,492,4,2055,4,2061,4,2045,4,1933,4,1867,40,4,23,7,14,5,83.5,91.6,8.1,4.9,2.3,1.7,2.4,0.5,3.7,1.3,10.4,41,2.4,12,2.4,12,2.4,12,2.4,12
236,719,719,1,1065,1,1060,1,1022,2,1338,2,1460,52,5,24,6,31,5,92.5,83.7,2.1,4.5,2.5,5.6,1,1.1,1.9,5,3.4,19,7.9,57,7.9,57,8,57,8.1,58
237,956,956,3,2817,3,2721,3,2617,2,2294,2,1538,35,6,25,7,10,3,24.3,54,47.9,29.8,7.6,9.2,2.6,1.9,17.6,5.1,21.8,61,14.8,142,14.8,142,14.8,142,14.8,142
238,550,550,4,2384,4,2381,4,2351,4,2220,3,1597,34,9,28,11,6,2,16.2,42,64.3,48.3,3.6,4.9,2.8,3,13.1,1.8,62.5,340,8.3,46,8.3,46,8.2,45,8.2,45
240,394,392,4,1648,4,1639,4,1628,4,1495,4,1610,39,5,15,6,12,4,60.5,76.4,24.5,15.2,1.1,1.7,3.7,1.5,10.2,5.2,24.4,169,10.4,41,10.5,41,10.5,41,10.5,41
241,569,569,3,1917,3,1914,3,1893,3,1859,3,1890,48,10,25,7,16,6,92.7,95.3,1.9,1.8,2.2,1.5,1.1,1.1,2.2,0.3,3.1,5,3.4,19,3.4,19,3.4,19,3.4,19
242,279,279,6,1663,6,1630,6,1614,5,1521,0,3,27,9,30,8,6,4,16.8,,64.1,,2.6,,4.1,,12.4,,3.8,11,18.6,52,18.6,52,18.6,52,18.6,52
243,543,543,0,124,0,124,0,126,0,105,0,110,76,0,0,55,100,73,65.7,80.9,6.7,10,0,1.8,0,3.6,27.6,3.6,21,27,59.2,322,59.2,322,61.4,334,59.2,322
244,694,694,3,1929,3,1927,3,1927,3,1826,3,1848,40,4,25,6,8,3,24.7,38.3,51.6,48.8,4.9,6.3,3,3,15.7,3.6,5.1,8,27,187,27,187,25.2,175,27,187
245,176,176,8,1435,8,1428,8,1409,7,1287,7,1254,40,15,12,10,8,7,29.4,49.2,54.9,42.7,2.1,3.4,3.2,1.4,10.4,3.2,16,52,3,5,3,5,3,5,3,5
246,285,285,8,2394,8,2382,8,2351,7,2084,6,1790,31,9,38,11,6,3,34.6,58.5,44.4,29,1.6,2.1,3.3,2.4,16.1,8,23.4,70,3.3,9,3.3,9,3.3,9,3.3,9
247,131,131,9,1155,9,1144,9,1126,8,1002,4,532,39,5,9,11,1,3,4.9,28.2,53.4,53.6,0.5,4.1,2.5,1.9,38.7,12.2,8.1,20,21.2,28,21.2,28,21.2,28,21.2,28
248,162,162,11,1815,11,1806,11,1783,10,1601,8,1295,29,3,24,8,2,2,25.4,57.8,42.3,25.9,1.1,3.1,5.4,3.7,25.7,9.5,38.8,549,4.1,7,4.1,7,4.1,7,4.1,7
249,128,128,13,1669,13,1665,13,1637,10,1262,15,1867,28,4,37,8,2,3,1.2,3.1,26.4,24.8,0.9,2.5,1.8,1.1,69.7,68.4,5.1,24,0,0,0,0,0,0,0,0
250,325,325,5,1719,5,1719,5,1714,5,1632,2,754,31,7,23,8,3,4,37.9,63.9,49.5,28,2.8,2.2,3.8,2.5,5.9,3.3,52.8,2165,17.6,57,17.6,57,17.6,57,24.5,80
251,300,300,6,1835,6,1815,6,1686,5,1489,2,547,35,4,33,6,3,3,35.6,59.8,49.8,33.8,5.4,2.4,4.6,2.6,4.6,1.5,3.6,43,23.4,70,23.4,70,23.4,70,24.3,73
252,246,246,4,1046,4,1041,4,1042,4,935,4,989,50,14,15,6,8,5,66.4,74.6,23.9,16.4,4.5,5.2,2.6,0.5,2.7,3.3,13.2,109,8.1,20,8.1,20,8.1,20,11.1,27
253,643,647,3,2052,3,2052,3,2050,3,2061,3,2074,39,6,33,8,7,2,80.4,90.3,5.7,3,7.1,3.7,2.3,0.4,4.6,2.6,19.3,79,0,0,0,0,0,0,0,0
254,1415,1415,1,943,0,542,0,546,0,495,0,112,28,4,25,11,6,6,42.4,72.3,37,21.4,7.1,0,6.7,5.4,6.9,0.9,13.1,184,38.8,549,38.8,549,38.8,549,39.9,565
255,474,474,6,2895,6,2895,6,2895,6,2702,5,2197,41,5,22,5,16,5,78.3,86.3,8.5,5.3,7.9,4.3,2.2,1.7,3.1,2.5,0.1,0,5.1,24,5.1,24,5.1,24,5.1,24
256,4098,4097,1,3330,1,3045,1,2790,1,2182,0,912,41,4,25,5,15,3,81.8,94.7,9.1,2.7,4.3,0.8,1.4,0.6,3.4,1.2,5.5,56,53.4,2190,53.5,2190,53.5,2190,51.1,2094
257,1191,1196,3,3596,3,3606,3,3218,2,2843,0,114,33,2,31,8,4,2,60.9,65.9,14.4,24.6,12.7,0.9,1.8,1.8,10.2,7,2.8,18,3.6,43,3.6,43,3.6,43,4.4,53
258,827,827,4,3128,4,3064,4,2903,4,2907,3,2322,42,7,17,7,9,3,19.8,43.9,59.6,46.9,5.3,3.2,2.2,1.2,13.1,4.7,12.1,39,13.2,109,13.2,109,13.2,109,13.2,109
259,411,411,6,2493,6,2492,6,2478,6,2431,3,1372,31,5,32,9,2,2,17.6,55.1,62,31.1,5.1,7.5,3,2.7,12.3,3.5,3.3,9,6.7,28,35.3,145,35,144,35,144
260,1405,1405,3,3768,3,3744,3,3723,3,3514,2,2973,33,3,15,4,12,3,8,11.4,79.4,83.9,0.6,0.2,2,1.1,10,3.4,20.6,385,13.1,184,13.1,184,12.6,177,12.6,177
261,543,543,4,2348,4,2348,4,2348,4,2224,4,2417,41,6,21,6,14,4,71.9,81.8,6.6,7.2,3.2,3.7,2.3,1.3,16,6.1,22.2,442,0.1,0,0.1,0,0.1,0,0.1,0
262,1012,1012,3,3218,3,3216,3,3216,3,3019,3,3116,44,3,21,4,14,3,83.9,88.7,5.4,4,5.4,4.4,2,1,3.3,2.1,1.4,4,5.6,56,5.6,56,5.6,56,5.6,56
263,631,631,4,2666,4,2636,4,2575,4,2349,4,2319,53,5,16,5,20,4,87.4,90.6,3.2,2.8,4.9,2.7,1.4,0.4,3.1,3.5,3,14,2.8,18,3,19,3,19,3.1,19
264,325,325,6,2109,6,2085,6,1996,6,1845,6,1923,34,5,13,6,4,3,46.4,66.3,37.9,21.2,6.1,6.4,3,2,6.6,4.1,0.3,1,12.1,39,12.1,39,12.1,39,12.1,39
265,277,276,5,1499,5,1496,5,1495,5,1514,5,1368,43,7,19,5,17,6,57.3,73.5,28.2,16.5,5.1,6.4,3.1,1.3,6.3,2.3,7.1,37,3.3,9,3.3,9,3.3,9,3.3,9
266,1871,1871,2,2875,2,2870,2,2870,1,2673,1,1210,35,1,27,6,8,3,49.1,84.6,35.8,11.7,3.3,1.7,2.6,0.4,9.2,1.6,26.4,160,20.6,385,20.6,385,20.6,385,20.6,385
267,1989,1989,2,4618,2,4586,2,4400,2,4044,1,1007,33,2,29,5,5,3,49.4,84,27.9,9.1,6.3,3,2.8,2.5,13.6,1.4,8,10,22.2,442,22.2,442,22.2,442,22.2,442
268,257,257,7,1786,7,1788,7,1757,7,1735,6,1565,44,12,16,6,13,5,36.8,59.5,40.4,30.3,1.9,3.5,3.2,1.2,17.7,5.6,3.2,12,1.3,3,1.3,3,2.2,6,2.2,6
269,457,457,6,2791,6,2791,6,2774,6,2628,4,1712,38,3,24,7,14,3,76.6,92.1,5.6,3,8.9,2.3,2.7,1.3,6.1,1.3,13.2,54,3,14,3,14,3,14,3,14
270,90,90,16,1394,15,1387,15,1368,15,1321,12,1121,38,19,23,11,0,1,13.2,47.1,50,35.6,1.5,3,6.8,2.7,28.5,11.6,31.5,290,0,0,0,0,0,0,0,0
271,169,169,7,1219,7,1207,7,1168,7,1163,8,1269,30,9,33,9,8,2,6.7,8.4,83.1,84.4,1.2,1.5,1.2,1.2,7.8,4.5,14.9,26,0.3,0,0.3,0,0.3,0,0.3,0
272,527,527,3,1450,3,1450,3,1450,3,1388,2,871,28,6,18,8,10,7,36,54.9,40.3,33,2.6,4.8,7.5,1.3,13.5,6.1,0.9,1,7.1,37,7.1,37,7.1,37,7.1,37
273,605,605,3,1873,3,1873,3,1790,3,1657,0,158,31,4,19,10,8,5,28.3,65.4,52,25.2,2.4,5.4,3.4,0.7,14,3.3,11.3,103,26.5,160,26.5,160,26.5,160,26.5,160
274,121,121,9,1051,9,1052,9,1039,8,971,0,0,25,4,26,12,3,4,30.2,,38.3,,24.4,,2.6,,4.5,,10.1,19,8,10,8,10,8,10,8,10
275,391,391,5,2121,5,2118,5,2111,5,2047,6,2219,49,13,12,8,14,6,48.3,72.4,38.9,18.9,3.7,5.3,3.1,1.3,6,2.1,20.5,71,3.2,12,3.2,12,3.2,12,3.2,12
276,410,410,5,1971,5,1971,5,1971,5,1871,3,1247,38,7,27,8,9,4,55.2,85.2,29.6,8.3,4.8,2.5,2.9,1.2,7.5,2.7,18,78,12.2,50,12.2,50,12.2,50,12.2,50
277,919,921,2,2005,2,1802,2,1526,1,1329,1,584,35,7,25,7,9,6,41.8,66.4,41.8,25.3,5.5,2.9,3.8,2.1,7.1,3.3,62.8,598,31.5,290,31.5,290,31.5,290,29.4,271
278,173,173,9,1602,9,1602,9,1600,7,1222,6,964,30,7,19,7,3,3,37.1,67.7,44.9,24.3,6,3.3,4.7,2.4,7.4,2.3,13.7,380,14.9,26,14.9,26,14.9,26,14.9,26
279,118,118,13,1505,13,1505,13,1505,12,1430,5,531,31,3,24,8,7,3,43.4,75.9,38.5,15.3,7.7,5,2.7,2,7.6,1.9,26.1,429,0.8,1,0.8,1,0.8,1,0.8,1
280,916,916,1,1280,1,1276,1,1253,2,1899,1,1174,33,4,32,7,7,4,23.7,64.1,32.1,7.3,1.3,2.8,2.5,3.7,40.3,22.2,5.5,84,11.3,103,11.3,103,11.3,103,11.2,102
281,187,187,6,1067,6,1067,6,1067,5,984,5,867,27,4,26,6,3,3,37.5,35,50.1,57.8,1.9,2.9,3.9,1.4,6.6,2.8,10.8,62,10,19,10,19,10,19,10,19
282,349,348,4,1480,4,1452,4,1404,4,1345,2,575,36,2,10,6,8,5,22.8,57,56.5,37.2,2.6,2.4,3,1.7,15.1,1.7,23.7,299,20.2,70,20.2,70,20,70,20.6,72
283,435,435,6,2661,6,2656,6,2617,6,2530,4,1825,33,5,33,5,7,2,20.8,49.7,61.2,39.7,5.9,5.5,2.3,1.6,9.9,3.5,7.7,65,18.2,79,18.2,79,18.3,80,17.9,78
284,952,952,1,965,1,960,1,968,1,964,1,538,45,4,30,8,5,4,89.2,97.2,2.2,2,3.3,0,2.6,0.2,2.7,0.6,4.6,7,63.8,607,63.8,608,63.8,608,55.2,525
285,2765,2761,0,16,0,16,0,15,0,1,0,3,,,,,,,,,,,,,,,,,22.5,69,13.8,381,13.8,381,13.8,381,13.8,381
286,1640,1640,0,181,0,189,0,191,0,698,0,770,47,6,15,9,9,7,54,84,4.4,2.6,19.8,10.1,2.7,1,19.1,2.2,4.7,5,26,427,26,427,26,427,26,427
287,1540,1540,2,2369,2,2401,1,2295,2,2590,1,1491,30,3,14,6,8,4,58.6,80.2,21.9,8.1,6,3.9,2.7,1.7,10.9,6.1,23,86,5.5,84,5.5,84,5.5,84,5.5,84
288,575,575,4,2258,4,2250,4,2216,4,2099,4,2291,38,6,29,9,11,4,80.2,86.8,8.9,6.7,3.3,2.5,2,0.6,5.6,3.4,6.4,7,10.8,62,10.8,62,10.8,62,10.8,62
289,1259,1257,3,3701,3,3664,3,3655,3,3435,1,944,35,1,28,5,5,2,48.1,84.6,23.3,11.3,7.3,1.7,2.9,0.5,18.4,1.8,27.4,203,23.8,300,23.9,300,23.9,300,23.9,300
290,843,842,1,972,1,983,1,532,1,539,1,536,29,27,29,11,14,7,16.9,20.2,66,76.7,0.6,0,2,0.8,14.5,2.4,0.1,0,7.7,65,7.7,65,7.7,65,7.7,65
291,147,147,19,2754,19,2743,18,2649,12,1807,13,1917,26,2,34,6,3,2,5.3,7,55.8,52.6,1.5,2.5,2.5,2.5,34.9,35.4,20.8,100,4.7,7,4.7,7,4.7,7,4.7,7
292,305,305,4,1124,4,1136,4,1171,4,1086,3,897,24,6,44,8,6,4,2.1,2.5,83.7,87.5,9.3,5.9,1.9,1.2,2.9,2.9,13.6,64,22.4,69,22.4,69,22.4,69,22.4,69
293,110,110,8,882,7,822,8,844,7,727,9,943,28,6,32,10,9,5,7.4,10,90,84.6,0,0.5,0.6,1.5,2.1,3.4,22.7,120,4.7,5,4.7,5,4.7,5,4.7,5
294,372,372,3,1006,3,1004,3,992,2,909,3,1062,39,16,29,8,9,5,1.5,0.6,92.4,97.4,0.1,0,4,0.5,2,1.6,11,7,23.3,87,23.3,87,23.3,87,23.3,87
295,106,106,13,1425,13,1422,13,1427,13,1328,14,1495,28,6,28,7,13,4,3.8,0.9,92.8,92.5,0,0.1,1.7,0.8,1.7,5.6,17.6,53,7.3,8,6.3,7,7.3,8,7.3,8
296,741,741,2,1657,2,1570,2,1356,2,1248,1,492,39,3,26,9,9,4,38.5,89.2,40.5,7.9,4.7,0.8,3,1.4,13.2,0.6,37,251,27.4,203,27.4,203,27.4,203,27.4,203
297,104,104,4,450,4,450,4,441,4,453,5,474,44,6,38,5,5,5,95.4,97.7,1.1,0.6,1.5,1.1,1.3,0.2,0.7,0.4,2.5,13,0,0,0,0,0,0,0,0
298,253,253,6,1522,6,1510,6,1511,6,1440,5,1241,31,5,21,11,5,3,39.9,73.7,23.7,10.8,3.8,5.8,2.7,2.1,29.9,7.6,4.8,12,0.1,0,0.1,0,0.1,0,0.1,0
299,479,479,7,3120,6,3076,6,3012,5,2541,4,1787,29,2,30,6,2,1,30.1,44.2,47.5,41.4,5.1,7.4,3.1,2.2,14.1,4.8,3.4,25,22.5,108,22.5,108,22.5,108,15.5,74
300,469,469,2,1093,2,1085,2,1086,2,1116,2,955,39,14,12,8,15,7,54.2,55.9,23.4,15,2.7,5.7,2.5,2.2,17.2,21.2,3.4,14,13.6,64,13.6,64,13.6,64,13.6,64
301,531,531,4,2295,4,2249,4,2113,4,1910,3,1629,37,11,23,7,11,4,30.5,57.5,47.1,29,6.4,7.3,2.4,2.8,13.7,3.4,8.7,34,21.2,113,21.2,113,21.2,113,27.5,146
302,372,372,8,3006,8,2994,8,2944,8,2909,7,2453,36,3,26,5,5,2,69,76.8,12.7,7.4,5.3,8.4,2.5,1.6,10.6,5.9,3.5,7,0,0,0,0,0,0,0,0
303,200,200,9,1806,9,1804,9,1785,9,1825,8,1660,34,5,14,7,8,4,54.1,75,16.8,13.3,5.6,6,2.1,2.4,21.4,3.3,7.7,50,0,0,0,0,0,0,0,0
304,66,66,19,1241,19,1236,18,1210,8,564,21,1399,20,6,48,6,3,3,4.1,1.9,28.9,30.8,0.9,0.1,1.4,1.1,64.7,66.1,1.4,4,11,7,11,7,11,7,11,7
305,300,300,3,893,3,896,3,882,3,800,1,352,37,18,22,11,11,6,20.8,43.8,66.6,53.1,0.9,1.7,4.3,0.3,7.5,1.1,11.1,27,17.6,53,17.6,53,17.6,53,17.6,53
306,679,681,2,1487,2,1334,1,981,2,1335,2,1526,11,3,61,3,0,1,8,7.4,86.5,90.9,0.2,0,2,0.7,3.2,1,5.6,24,37,251,36.9,251,36.9,251,36.9,251
307,516,516,8,3912,6,2972,6,2948,6,2864,5,2590,36,7,24,7,6,2,16.2,22,52.6,61.9,6.9,7.6,2,1.7,22.3,6.8,18.6,32,2.4,12,2.4,12,2.4,12,2.4,12
308,241,241,5,1267,5,1267,5,1152,4,942,3,772,37,4,32,8,13,5,83.5,89.6,3.9,5.7,5.6,1,3.1,1.6,3.8,2.1,6.8,26,1.9,5,1.9,5,1.9,5,1.9,5
309,725,725,2,1802,2,1782,2,1732,2,1586,1,687,40,5,27,8,9,4,79.4,93.9,6.4,2.8,5.9,0.4,2.9,0.4,5.4,2.5,5.4,39,3.4,25,3.4,25,3.4,25,3.4,25
310,406,406,5,2228,5,2219,5,2209,6,2372,3,1113,35,7,36,7,7,4,74.2,87.7,7,5.3,9.4,3.1,1.4,0.9,7.9,3.1,0.9,2,3.4,14,3.4,14,3.4,14,3.4,14
311,389,389,3,1226,3,1217,3,1243,3,1153,4,1421,46,9,18,10,25,6,2.1,0.8,92.6,95.2,0.8,1,2.1,1.6,2.4,1.4,15.2,33,8.7,34,8.7,34,8.7,34,8.7,34
312,207,207,9,1776,9,1776,8,1748,7,1405,8,1577,34,9,29,8,8,4,6.2,11.1,76.9,75.5,3.3,3,2.7,5.1,10.9,5.2,6.3,13,3.5,7,3.5,7,3.5,7,3.5,7
313,647,647,3,1668,3,1668,3,1668,3,1634,2,1178,27,9,29,7,5,5,28,63.6,37.9,25.2,7.6,4.3,2.1,1.4,24.4,5.5,3.5,20,7.7,50,7.7,50,7.7,50,7.7,50
314,319,319,8,2618,8,2651,8,2645,8,2422,8,2553,30,5,24,9,4,3,25.8,32.4,24.6,25.9,1.5,2.7,1.6,2.2,46.5,36.8,28.8,394,1.3,4,1.3,4,1.3,4,1.3,4
315,241,241,3,746,3,741,3,611,2,546,5,1256,42,7,6,4,7,4,85.5,59.4,9.2,29.8,1.3,0.4,1.3,3.7,2.7,6.7,7.4,44,11.1,27,11.1,27,11.2,27,11.2,27
316,432,432,10,4305,10,4264,10,4301,9,3793,8,3259,28,,32,4,6,2,11.2,29.2,35.1,53.7,4.6,6.8,2,3.8,47.1,6.6,3.1,5,6.4,28,6.4,28,6.4,28,6.4,28
317,170,170,5,806,5,798,5,784,5,768,5,786,20,7,40,8,11,3,5.9,3.2,89.2,95.5,0,0,3.4,1.2,1.6,0.1,12.7,29,18.8,32,18.8,32,18.8,32,18.8,32
318,385,385,4,1663,4,1660,4,1661,4,1612,4,1698,44,7,17,5,17,4,83.3,89.2,6.4,4.5,1.5,3.2,2.8,0.6,6,2.5,17.1,124,6.8,26,6.8,26,6.8,26,6.8,26
319,718,719,5,3294,5,3305,4,3095,4,2989,4,2944,41,3,24,5,14,5,36.9,54.9,25.1,29.1,7.7,7.7,2,2.5,28.3,5.7,23.6,111,5.4,39,5.4,39,5.4,39,5.4,39
320,264,264,4,1000,4,1067,4,1077,4,945,3,884,45,12,20,8,24,6,87.8,91.5,4.4,4.5,2.3,0.5,1.1,1.2,4.3,2.3,10.7,69,0.9,2,0.7,2,0.7,2,0.7,2
321,217,217,5,1193,5,1186,5,1149,5,1121,6,1220,38,13,21,7,11,4,2,1.5,89.5,96,4.5,0,0.7,1.6,3.3,0.9,33.4,436,15.2,33,15.2,33,15.2,33,15.2,33
322,199,199,6,1234,6,1209,6,1147,6,1217,5,1063,23,6,32,4,5,4,26.6,47.9,43.1,40.8,3.6,4.2,3.1,1.2,23.5,5.9,24.9,149,6.2,12,6.2,12,6.2,12,6.2,12
323,564,564,5,2608,5,2602,4,2452,4,2518,4,2356,37,4,28,4,12,3,21.7,39.2,49.3,49.3,2.7,2.5,2.8,2.6,23.5,6.4,18.3,113,3.5,19,3.5,19,3.5,19,3.5,19
324,1367,1367,1,1669,1,1661,1,1658,1,1635,1,1535,39,7,22,6,9,3,64.3,78.6,22,15.2,4.4,2.8,2.6,1.5,6.7,2,11.9,102,28.8,394,28.8,394,28.8,394,28.8,394
325,599,599,5,2783,5,2756,4,2688,4,2565,4,2421,42,10,23,6,11,3,32.3,53.4,49.1,38.8,3.2,3.8,2.3,1.3,13.2,2.8,33.6,507,7.4,44,7.4,44,7.4,44,7.4,44
326,152,152,6,962,6,959,6,938,6,935,7,1061,37,11,23,9,18,6,3.5,1.4,91,96,0.2,0,2.2,1.1,3,1.4,17.7,126,3.1,5,3.1,5,3.1,5,3.1,5
327,230,230,7,1710,7,1708,7,1685,7,1658,7,1689,36,14,32,13,21,5,8.4,17,66.8,72.5,3.1,2.3,4.3,1.7,17.4,6.5,2.9,5,13.2,30,13.2,30,13.2,30,13.2,30
328,727,728,2,1097,2,1099,2,1093,1,1043,1,909,53,12,10,9,24,4,36.5,68.2,47.6,24.8,4,3.6,1.9,1.4,10,2,10.3,26,17.1,124,17.1,124,17.1,124,17.1,124
329,470,470,4,2061,4,2063,4,2057,4,1895,2,969,40,8,21,9,8,6,17.4,44.8,68.7,46,3.5,5.3,2.5,1.6,7.9,2.3,5.1,19,33.7,159,8.7,41,8.7,41,8.7,41
330,641,620,3,2239,3,2149,3,2117,3,1988,1,896,30,4,38,3,5,2,28.6,75.1,58.3,20.2,1.7,1,2.6,1.8,8.8,1.9,3.3,12,10.7,69,11.1,69,11.1,69,11.1,69
331,1306,1303,1,1617,1,1617,1,1607,1,725,0,452,30,3,17,9,1,2,30.1,50,46.6,43.8,6.6,2,5.2,2.9,11.4,1.3,1.4,4,33.4,436,34.3,447,34.3,447,34.6,451
332,596,596,3,1861,3,1769,3,1630,2,1368,1,638,33,3,25,7,6,4,43.3,73.1,46.3,25.1,3.1,0,1.5,0,5.7,1.7,4.2,11,31.6,188,31.6,188,31.6,188,31.6,188
333,619,619,5,3039,5,2959,5,2883,5,2813,4,2600,31,8,30,5,9,5,30.5,54.1,46.6,31.9,9.3,8,2.8,2.7,10.8,3.3,13.9,36,18.5,114,18.5,114,18.5,114,18.5,114
334,399,399,2,743,2,742,2,738,2,725,0,0,30,2,18,12,0,1,16.7,,21.9,,52.4,,5,,4,,24.5,161,0,0,0,0,0,0,0,0
335,859,859,4,3376,4,3324,4,3141,3,2951,1,552,42,4,27,6,19,5,71.9,93,8.8,4.3,9.4,1.3,2.8,0.4,7.1,1.1,7.6,56,11.9,102,12.5,107,12.5,107,14.3,123
336,1512,1512,3,4996,3,4896,3,4612,2,3350,1,1160,31,1,23,5,5,3,37.7,64.4,44.4,25.3,7,6.8,3.3,1.5,7.7,2.1,15.9,22,33.6,507,33.5,507,36.4,551,36.4,551
337,710,715,3,1983,3,1939,3,1934,3,1837,1,407,40,7,24,6,3,3,70,90.7,19,3.4,5.3,1.5,2.4,2,3.3,2.5,17.4,277,17.7,126,17.6,126,17.6,126,17.6,126
338,153,153,15,2223,14,2216,11,1739,7,1141,6,917,32,2,13,7,4,3,29.9,0.7,62.8,97.4,1.8,0.2,2.5,1.3,2.9,0.4,2.3,7,3,5,3,5,3,5,10.6,16
339,254,254,7,1697,6,1575,5,1218,3,666,0,76,28,2,6,1,0,1,71.6,19.7,15.5,80.3,6.9,0,1.1,0,5,0,0.1,0,10.3,26,10.3,26,10.8,27,12.6,32
340,376,376,19,6985,18,6789,17,6544,15,5621,6,2345,31,,4,3,6,2,66,58.3,25.3,36.8,3.6,1.6,1.8,1.6,3.3,1.8,9.5,19,5.1,19,5.1,19,5.7,21,5.7,21
341,369,369,12,4482,12,4355,11,4062,11,4182,6,2037,31,,13,4,6,3,38.8,21.7,51.3,73.7,3.3,0.5,1.3,2.4,5.3,1.7,7.1,18,3.3,12,3.3,12,3.3,12,3.8,14
342,280,280,2,615,2,631,2,523,2,443,0,1,27,,5,5,4,5,75.6,,11.5,,8.8,,1.1,,2.9,,2,14,1.4,4,1.4,4,1.4,4,1.4,4
343,260,260,6,1637,6,1618,7,1728,5,1290,7,1770,36,3,18,6,5,2,73.5,44.2,14.9,46.6,3.6,2.3,2.8,2.8,5.2,4.2,1.4,4,4.2,11,4.2,11,4.7,12,4.7,12
344,262,262,6,1668,6,1640,6,1486,5,1317,3,882,33,4,12,6,7,3,46.2,18.1,40.5,65.2,1.5,2.8,2.4,3.3,9.3,10.5,1.9,12,13.9,36,13.9,36,13.9,36,13.9,36
345,655,668,1,937,1,933,1,927,1,872,1,635,27,2,28,2,3,3,63.6,94.9,25.7,3.6,2.2,0,2.5,0.5,6,1,6.3,61,24.5,161,24,161,24,161,24,161
346,730,730,4,2882,4,2850,4,2811,3,2514,3,2474,31,8,29,7,9,2,19.6,44.8,59.9,39.5,8.9,5.7,3.4,2.6,8.2,7.4,2.6,9,7.6,56,7.6,56,7.6,56,7.6,56
347,140,140,6,865,6,864,5,660,4,590,6,862,32,8,25,7,4,3,10,0.8,82.2,95.1,0.5,0,3.6,0.2,3.7,3.8,0.6,5,15.9,22,15.9,22,16.7,23,16.7,23
348,1591,1591,2,3206,2,3200,2,3170,2,3083,1,2335,38,,25,6,14,3,58.3,84.5,33.1,13,1.9,1,2,0.8,4.7,0.7,3,13,17.4,277,17.4,277,17.4,277,17.4,277
349,297,297,7,2037,7,2030,7,2002,6,1928,4,1113,30,4,27,7,9,4,60.3,91.4,15,3.9,13,2.1,2.1,1.2,9.5,1.5,26.5,376,2.3,7,2.7,8,2.7,8,2.7,8
350,312,312,5,1586,5,1581,5,1559,5,1474,5,1445,41,7,22,9,17,6,84.9,94.2,4.2,2.6,2.2,1.2,1.4,0.6,7.3,1.5,21,104,0,0,0.2,1,0.2,1,0.2,1
351,202,202,6,1210,6,1201,5,1093,5,1010,5,942,35,6,33,10,12,4,70.8,74.8,15.6,14.2,6.7,5.3,2.9,1.7,4,4.1,2.8,22,9.5,19,9.5,19,9.5,19,9.2,19
