NPA,Area,Area,Population_Density_2016,Population _2016,Population_Density_2015,Population _2015,Population_Density_2013,Population _2013,Population_Density_2010,Population_2010,Population_Density_2000,Population _2000,Age_of_Residents_2015,Age_of_Residents_moe_2015,Youth_Population_2015,Youth_Population_moe_2015,Older_Adult_Population_2015,Older_Adult_Population_moe_2015,White_Population_2010,White_Population_2000,Black_Population_2010,Black_Population_2000,Asian_Population_2010,Asian_Population_2000,All_Other_Races_2010,All_Other_Races_2000,Hispanic_Latino_2010,Hispanic_Latino_2000,Vacant_Land_2017,Vacant_Land_Area_2017,Vacant_Land_2016,Vacant_Land_Area_2016,Vacant_Land_2015,Vacant_Land_Area_2015,Vacant_Land_2013,Vacant_Land_Area_2013,Vacant_Land_2011,Vacant_Land_Area_2011
352,254,254,10,2501,10,2501,10,2499,9,2379,8,1924,32,4,28,7,9,4,66.9,86.6,14,4.9,8.2,4.3,2.8,2.3,8.2,1.9,19.3,262,1.9,5,1.9,5,1.9,5,1.9,5
353,686,686,4,2613,4,2610,4,2552,4,2405,3,2224,40,5,23,7,19,6,90,92.4,2.9,3.4,2.7,1.7,2,1.2,2.4,1.3,4.1,20,2.1,14,2.1,14,2.1,14,2.1,14
354,256,256,7,1791,7,1791,7,1791,8,1937,4,1028,31,5,20,9,7,3,69,77.7,11.1,6.4,5.6,5.3,2.8,4.5,11.5,6.1,3.8,10,1.5,4,1.5,4,1.5,4,1.5,4
355,637,634,3,2119,3,2119,3,2119,3,1894,2,1005,33,3,18,7,2,2,53.8,83.3,12.1,7.6,21.9,3.9,3.2,1.5,9,3.8,3.6,13,1.9,12,1.9,12,1.9,12,1.9,12
356,976,977,5,4847,5,4825,5,4806,5,4416,2,1919,41,,27,5,6,3,78.6,90.8,7.1,2.2,8.7,3.8,1.9,1.2,3.8,2,2.6,19,6.3,61,6.3,61,6.6,65,5.8,57
357,346,346,8,2692,8,2687,7,2583,6,2139,7,2375,36,,17,6,13,2,80.3,85.7,10.1,8.9,2.4,1.7,1.7,1.1,5.5,2.6,4.6,51,2.7,9,2.7,9,2.7,9,2.7,9
358,823,823,4,3559,4,3203,4,3173,4,3051,3,2495,40,,23,4,17,3,88.4,93.2,3.8,1.8,2.6,1.7,1.7,1,3.6,2.3,8,26,0.6,5,0.7,6,0.7,6,1.7,14
359,416,416,5,2257,5,2252,5,2245,5,2129,5,2014,49,,17,7,34,7,93,95.2,1.6,1.4,1.9,1,1.1,0.5,2.4,1.8,9.8,46,3,13,3.7,15,4,17,4,17
360,1419,1419,3,4411,3,4396,3,4230,3,3956,2,2572,32,,24,4,4,1,37.1,70.2,44.2,22.2,2.8,2.1,3.3,2.3,12.6,3.3,7.7,107,27.2,386,27.2,386,27.2,386,27.2,386
361,496,496,3,1509,2,1140,2,1124,2,994,4,2101,41,,16,6,12,6,10.5,9.1,83.6,86.5,1.3,0.8,2.2,1.2,2.4,2.3,5.5,108,20.9,104,19.8,98,20,99,20,99
362,814,814,4,3174,4,3184,4,3089,4,2875,4,2915,42,,22,5,17,3,1.9,1,90.3,97.3,0.1,0,1.8,0.8,5.8,0.8,2.3,19,2.8,22,2.8,22,2.8,22,2.8,22
363,1361,1361,2,2983,2,2967,2,2912,2,2340,2,2628,34,,24,5,15,3,3.2,0.8,85.9,86.8,3.6,3.5,1.3,1.6,5.9,7.3,14,58,19.3,262,19.3,262,19.3,262,19.3,262
364,483,483,6,2864,6,2852,6,2745,5,2426,5,2216,42,,29,6,22,4,97.4,98.8,0.2,0.5,0.2,0.3,0.7,0.2,1.4,0.2,1.9,19,4,19,4,19,4,19,4,19
365,270,269,6,1710,6,1686,6,1657,5,1217,5,1304,35,,16,7,9,4,59,72.9,24.3,18.2,1.1,1.3,2,2.7,13.6,5,18.6,214,3.7,10,3.8,10,3.8,10,3.8,10
366,348,348,2,784,2,796,2,738,2,662,3,1082,34,,18,5,6,4,63.4,51.2,21.1,36.1,2,1.4,2.9,3.2,10.6,8,9.7,105,3.6,13,3.6,13,3.6,13,3.6,13
367,731,731,8,5562,7,4866,6,4469,6,4053,5,3961,31,,15,3,5,2,85.4,79.7,8.6,16.3,1.6,0.8,1.7,1.3,2.7,1.9,3.6,33,2.6,19,2.6,19,2.5,18,2.5,18
368,1111,1111,3,3038,3,3038,3,3038,3,2839,3,2906,37,,19,5,10,2,58.9,75.2,14.4,11.5,2.5,4.4,3.3,2.1,20.9,6.7,2.8,30,4.6,51,4.6,51,4.6,51,4.6,51
369,329,329,3,1144,3,1022,4,1269,4,1197,4,1413,29,,34,4,7,2,2.4,1.6,90.3,88.1,0,0.4,3.2,1.3,4.1,8.6,2.9,54,8.6,28,8.6,28,8.6,28,8.6,28
370,472,472,7,3257,7,3218,7,3134,6,2652,7,3191,23,,41,6,5,2,4.9,4.4,82.2,79.5,1.2,0.8,1.8,2.2,10,13.1,1.6,8,9.9,46,9.9,46,9.9,46,9.9,46
371,1395,1395,4,6089,4,5976,4,5765,5,7442,5,6970,37,,25,3,14,2,6.9,10,67.3,79.7,1.3,0.8,2.1,1.4,22.3,8.1,11.3,49,7.7,108,7.7,108,7.7,108,7.7,108
372,1956,1967,6,11854,6,11779,6,11745,6,11123,3,5493,36,,32,3,9,1,65,84.2,22.6,10.1,4.6,2.4,2.6,1.3,5.1,2.1,2.8,17,5.5,108,5.5,108,5.5,108,6.8,134
373,855,855,3,2549,3,2513,3,2500,3,2386,3,2447,47,,21,6,26,5,91.3,95.2,3,1.9,1.3,1.3,1.6,0.6,2.8,1.1,3.1,11,2.3,19,2.3,19,1.3,11,1.3,11
374,417,417,6,2520,6,2487,6,2483,5,2269,6,2588,41,,22,5,15,4,1.4,0.5,87.3,83,1.5,0,1.1,1.2,8.7,15.3,8.6,68,14,58,14,58,14,58,14,58
375,990,990,2,2407,2,2401,2,2371,3,2481,3,2577,43,,30,6,18,5,94.3,95.1,1.3,1.4,2,1.8,1.2,0.4,1.2,1.3,8.2,23,1.9,19,1.9,19,1.9,19,1.9,19
376,1151,1151,4,4161,3,3995,3,3940,3,3635,3,3025,36,,26,4,12,3,49.9,74.4,37.6,20.1,2.8,2,2.6,1.4,7,2.1,17.6,314,16.6,191,16.6,191,16.6,191,16.6,191
377,1081,1081,5,5686,5,5595,5,5510,5,4982,1,823,32,,27,5,6,2,29,54.8,54.3,33.8,5.2,6.7,2.4,1.1,9.1,3.6,7,28,9.7,105,9.7,105,9.7,105,9.7,105
378,914,914,5,4397,5,4350,5,4233,4,3993,4,3897,34,,19,4,6,2,84.2,79.6,8.2,14.5,1.6,1.7,2.8,1.1,3.2,3.1,1.1,13,3.6,33,3.6,33,3.7,34,3.7,33
379,1074,1074,4,4212,4,4202,4,4160,4,4029,3,3405,43,,32,5,10,3,85.9,92.5,3.9,2.9,5.9,2.5,1.2,0.7,3.1,1.4,6.4,17,2.7,29,2.7,29,5.5,59,5.5,59
380,1882,1881,3,5722,3,5726,3,5700,3,5426,3,4843,41,,31,3,10,2,85.2,91.4,3.5,3,5.7,3.2,2.2,1.1,3.4,1.4,1.4,8,2.8,53,2.8,53,2.8,53,2.9,54
381,492,493,7,3662,6,3092,6,3071,6,2933,6,3053,32,,15,4,9,2,71.6,69.4,16.3,17.8,3,2,2.4,2.4,6.8,8.4,1.4,20,1.6,8,1.6,8,1.6,8,2.6,13
382,434,434,7,3033,7,3050,7,3015,6,2762,8,3590,23,,15,4,9,3,5.1,1.1,82.4,94.2,0.7,0.3,3.3,1.1,8.5,3.4,0.6,6,11.3,49,11.3,49,11.3,49,11.5,50
383,618,618,7,4136,7,4093,7,4077,6,3722,7,4287,30,,32,4,7,2,44.4,52.8,15.9,15.6,4.1,5.6,2,2.1,33.6,24,7.3,29,2.8,17,2.8,17,2.8,17,2.8,17
384,347,347,11,3648,11,3661,9,3122,6,2243,2,854,28,,7,4,6,3,59.5,37.8,31.7,59.1,2.9,0.7,2.5,1.3,3.3,1.1,8.9,56,3.1,11,3.1,11,6.7,23,5.5,19
385,792,792,6,4853,6,4811,6,4371,6,4524,6,4893,31,,26,4,11,2,15.6,23.9,68.4,66.5,7.1,3.3,2.6,2.2,6.3,4.1,33.3,1496,8.6,68,8.6,68,8.6,68,8.6,68
386,278,278,7,1958,7,1955,7,1898,6,1556,8,2228,36,,14,4,11,3,14.9,5.1,76.3,76.6,2.1,10.5,2.5,2.2,4.1,5.6,4.9,7,8.2,23,8.2,23,8.6,24,8.6,24
387,1780,1788,1,2299,1,2327,1,2282,1,2503,1,2560,35,,22,5,11,3,17.8,34,68.6,50,5,7.4,2.4,2.9,6.2,5.7,22.7,63,17.6,313,17.5,313,17.5,313,17.5,313
388,398,398,5,2075,5,2053,4,1728,4,1473,5,2028,33,,20,5,9,3,30.3,4.3,64.4,92.2,1,0.6,1.9,0.9,2.4,2,21,137,7,28,7,28,5,20,5.6,22
389,1100,1100,9,9424,9,9359,8,8826,8,8893,7,8219,35,,24,3,14,2,33.4,47.2,27.6,28.2,5.3,7.2,1.9,2,31.7,15.5,7.7,51,1.1,13,1.1,13,1.1,13,1.2,13
390,267,267,6,1480,6,1468,6,1475,5,1397,4,1063,38,6,9,7,8,3,53.8,70.4,20.8,16.2,15.9,3.6,3.3,4.1,6.2,5.7,6.1,55,6.1,16,6.1,16,6.1,16,6.1,16
391,562,562,4,2350,4,2348,4,2284,4,2285,4,2499,38,,20,6,15,5,86.5,93.4,7,3.8,1.2,1.1,1.5,0.7,3.9,1,21.5,211,1.3,7,1.7,10,1.7,10,1.7,10
392,1467,1467,7,10154,7,10259,7,10051,6,8781,5,8053,37,,24,3,15,2,93.3,95.9,2.6,2.1,1.3,0.5,1,0.4,1.8,1.1,26.6,476,1.4,20,1.4,20,1.4,20,1.3,20
393,998,998,6,5518,6,5788,6,5917,5,4919,5,5128,33,,12,3,12,3,74.6,78.3,6.3,7.6,2.6,3.7,1.2,2.2,15.3,8.2,14,57,0.6,6,0.6,6,0.6,6,0.6,6
394,393,393,7,2942,7,2935,7,2882,6,2546,6,2441,36,,18,4,17,4,58,64,26.5,26.6,1.7,1.2,2.6,2.4,11.3,5.8,9.4,54,7.5,30,7.5,30,7.5,30,7.5,30
395,631,631,3,1576,3,1580,2,1568,2,1506,2,1000,49,8,17,4,29,4,77.5,86.6,8.2,7.2,4.3,2.2,2.3,1.1,7.8,2.9,9.8,135,9.1,57,9.1,57,9.1,57,9.1,57
396,4494,4494,1,2786,1,2737,1,2670,1,2526,0,2197,46,2,21,3,16,4,87.3,96,3.6,1,0.9,0.2,2.3,1.3,5.9,1.5,21.2,316,33.8,1520,33.8,1520,33.8,1520,33.8,1520
397,151,151,13,1918,12,1846,10,1566,10,1500,3,517,38,7,6,5,7,4,80.9,92.1,9.9,2.2,3.7,1.3,1.3,1,4.3,3.5,5.5,61,4.9,7,4.9,7,4.9,7,4.9,7
398,279,279,2,672,2,643,2,588,2,464,0,1,54,18,0,2,32,15,87.9,,5.4,0,1.7,,1.3,,3.7,,11.8,108,18,50,17.8,50,17.8,50,18,50
399,653,651,3,2072,3,2031,3,2021,3,1862,2,1165,35,3,28,8,4,3,84.5,88.7,6.6,4.8,2.4,0.9,1.3,1,5.3,4.6,7.9,20,23,150,23.2,151,23.2,151,23.1,150
400,663,663,4,2528,4,2528,4,2526,4,2478,3,2226,42,4,27,5,13,4,87.8,93.6,2.4,2.3,6.9,2.9,1.4,0.6,1.4,0.6,24.7,129,7.1,47,7.1,47,7.1,47,7.1,47
401,901,901,2,2192,2,2189,2,2184,2,2089,2,2023,41,6,22,6,11,3,82.7,91.5,6.7,4.1,1.1,0.9,2,1.3,7.5,2.2,17.5,354,6.1,55,6.1,55,6.1,55,6.1,55
402,983,983,2,1582,2,1584,2,1596,2,1547,1,1315,53,7,19,7,28,4,86,94.9,6.3,2.9,2.1,0.5,1.8,0.7,3.9,1.1,11.3,134,21.7,213,21.7,213,21.7,213,21.7,213
403,1789,1789,1,1964,1,1927,1,1741,1,1627,1,1114,46,10,27,5,15,3,82.7,92.5,6.8,2.5,2.5,1.7,1.8,2.4,6.2,0.9,4.5,10,26.6,475,26.6,475,26.1,467,26.1,467
404,408,408,5,2079,5,2069,5,2081,5,1865,4,1534,34,13,17,10,18,7,57.7,71.2,17.4,20.3,1.2,0.9,3.3,0.4,20.3,7.2,11.5,78,13.8,57,13.8,57,13.8,57,13.8,57
405,573,573,6,3471,6,3474,6,3460,6,3175,0,233,33,2,32,8,5,2,82.4,92.4,6.5,1.3,2.3,0.7,1.9,0.9,6.9,4.7,17.8,151,9.5,54,9.5,54,9.5,54,9.5,54
406,1378,1379,2,2184,2,2146,1,2000,1,2051,1,1763,50,5,10,4,20,1,83.9,90.6,8.3,5.3,3,0.9,1.5,1.6,3.3,1.6,10.1,57,9.8,135,9.8,135,9.8,135,9.8,135
407,1495,1495,1,1893,1,1869,1,1844,1,1703,1,1371,52,13,18,12,28,4,77.2,94.8,12.4,2.8,5.2,0.7,2.5,1.2,2.8,0.7,2.2,29,21.2,316,21.2,316,21.2,316,21.2,316
408,1111,1111,2,2713,2,2713,2,2690,3,2975,1,1599,48,4,20,5,23,5,82.8,94.4,7.5,2.9,1.5,0.2,1.8,0.6,6.3,1.8,30.1,218,5.5,62,5.5,62,5.5,62,5.5,62
409,919,994,3,2832,3,2826,3,2772,3,2484,2,1524,44,2,32,6,14,5,93,93.2,2.1,2.6,2.2,2,1.4,1.3,1.3,1,29.2,919,11.8,108,10.9,108,10.9,108,10.9,108
410,246,263,7,1722,7,1718,7,1720,5,1290,5,1213,47,12,12,6,19,9,91.2,95.6,3.1,0.9,1.2,0.8,2.5,0.5,2,2.1,37.9,1104,7.9,19,7.4,19,7.4,19,7.4,19
411,523,522,3,1559,3,1561,3,1546,3,1392,0,215,31,5,36,7,6,4,79,88,8.8,6.7,1.5,3.2,1.6,0.7,9.2,1.3,11.2,121,25.9,135,25.3,132,25.3,132,25.9,135
412,2017,2018,0,675,0,667,0,654,0,604,0,576,48,3,34,19,14,8,94.4,93.8,2.2,3.8,0.5,0.2,1.3,1.2,1.7,1,29.6,471,17.5,354,17.5,354,17.5,354,17.5,354
413,1183,1183,3,3836,3,3836,3,3805,3,3581,2,1870,39,3,31,6,6,3,88.2,92.6,4.9,3.5,1.7,1,1.5,1.2,3.7,1.7,4.8,24,11.3,134,11.3,134,11.3,134,11.3,134
416,212,212,8,1625,8,1625,8,1625,6,1279,1,122,30,4,16,7,3,3,66.1,77.8,17.4,15.5,5.9,4.1,3.9,0,6.6,2.4,33.2,464,4.5,10,4.5,10,4.5,10,4.5,10
417,684,684,3,2177,3,1980,3,1980,3,1904,1,772,34,3,28,7,10,4,74.1,84.1,10.3,5.3,5.7,3.2,2.6,1.8,7.3,5.6,47.1,304,9.6,66,9.6,66,9.6,66,9.6,66
418,849,846,4,3309,4,3309,4,3309,4,3100,1,1249,33,3,36,6,6,3,80.6,89.4,6.4,5.1,4.9,2.4,2.3,0.5,5.7,2.6,28.6,207,18.6,158,18.7,158,18.7,158,18.7,158
419,563,566,5,3094,5,3097,5,3094,5,3025,3,1920,41,5,31,7,6,4,89.2,92.3,3.8,4.7,1.8,0.8,1.8,0.8,3.5,1.4,30.5,404,11.1,63,11.1,63,11.1,63,11.1,63
420,1299,1299,2,2740,2,2721,2,2644,2,2485,1,1918,38,3,28,5,11,3,86.6,92.1,4.5,3.6,3,2.5,1.4,0.7,4.5,1.2,18.2,43,2.2,29,2.2,29,2.2,29,2.2,29
421,724,724,2,1719,2,1607,2,1392,2,1193,0,97,33,4,28,6,8,4,72.9,94.9,13.2,5.2,7.4,0,2.6,0,3.9,0,27.7,1038,30.1,218,30.1,218,30.1,218,30.1,218
422,3154,3154,1,2133,1,2133,0,1520,1,1878,0,1233,29,7,27,8,6,2,65.5,80.4,7.4,4.3,1.1,1.7,2.7,2.6,23.4,11,22.7,109,29.2,919,29.2,919,29.2,919,29.2,919
423,2911,2911,1,2158,1,2075,1,2042,1,1847,1,1479,41,5,23,6,10,3,84.6,93.1,7.7,2.7,2.8,1.4,1.9,1.2,3,1.6,4,16,38,1107,38,1107,38,1107,38,1107
424,1084,1114,2,1694,2,1689,2,1690,1,1479,1,1424,56,7,14,7,24,7,92.6,95.1,1.6,2.8,2.3,0.5,1.6,0.5,2,1.2,49.8,1755,10.8,117,10.5,117,10.5,117,11.3,126
425,1592,1592,1,1231,1,1211,1,1204,1,1158,1,900,46,4,26,9,9,3,90.8,94.3,4.2,3.1,2.8,1.2,0.8,1.1,1.5,0.2,40.9,884,29.7,472,29.7,472,29.7,472,29.7,472
426,499,499,4,2045,4,2045,4,2047,4,1982,3,1633,44,2,23,4,11,4,69.3,82.6,12.2,8.1,4.3,3.1,2.5,1.1,11.7,5.2,17.9,83,4.5,22,4.5,22,4.5,22,4.5,22
428,1398,1398,1,1546,1,1503,1,1431,1,1478,1,1008,47,10,21,12,19,4,67,81.2,9.5,2.5,2.8,0.2,2.8,2.9,17.9,13.3,8.6,24,34,475,34,475,34,475,34,475
430,646,646,5,3066,5,2962,4,2821,4,2460,3,1655,39,12,26,7,27,6,44.8,56,28.4,26,4,2.5,2.8,2.3,20,13.1,17.3,66,47.7,308,47.6,308,47.6,308,47.6,308
431,721,721,3,1852,3,1834,3,1812,2,1778,2,1366,35,8,28,11,8,3,64.6,87.6,14.6,5.9,2.6,1.2,3.1,1.8,15.1,3.5,10.8,73,29.2,211,29.2,211,29.2,211,29.2,211
432,1322,1322,2,2650,2,2607,2,2558,2,2632,2,2786,44,2,23,4,11,2,87.5,91.7,4.1,3.3,2.4,1.8,2.7,1.7,3.2,1.5,32.6,228,30.6,404,30.6,404,30.6,404,30.6,404
433,238,238,4,1007,4,1004,4,1004,4,998,4,988,47,3,19,8,12,5,87.4,93.7,4.7,1.8,1.7,2.3,3.4,0.5,2.8,1.6,16.9,206,19.9,47,19.9,47,19.9,47,19.9,47
434,3751,3750,1,3302,1,3191,1,2845,1,2447,0,548,44,4,30,6,12,4,72,81.9,15.7,11,4.9,1.8,2.7,0.9,4.7,4.4,27.3,227,27.5,1032,27.8,1041,27.8,1041,27.8,1041
435,479,479,1,628,1,607,1,568,1,625,1,574,59,5,6,7,30,14,85.9,90.8,6.6,4.9,1.4,3,1.3,0.2,4.8,1.2,5,51,22.6,108,22.6,108,22.6,108,22.6,108
436,401,401,4,1609,4,1602,4,1598,4,1678,3,1274,36,7,28,7,11,4,65.5,87.5,16.3,6,1,1.7,3.2,1.4,14.1,3.3,14.4,1114,3,12,3,12,3,12,3,12
437,3527,3514,1,3151,1,2951,1,2473,1,2124,1,1757,33,2,27,6,11,4,70.5,71.6,18,19.6,0.9,1.3,1.6,1,9,6.6,32.7,990,49.8,1755,49.9,1755,49.9,1755,49.9,1755
438,2159,2159,1,2230,1,1957,1,1245,0,612,0,392,43,5,23,7,16,6,89.5,92.8,4.9,1,0.8,0.3,2.3,1,2.5,4.9,16.4,195,41.1,888,41.1,888,41.1,888,41.1,888
442,463,463,4,2032,4,2017,4,1980,4,1930,4,1911,37,4,20,5,10,3,43.6,64.1,26.1,23.8,2.9,3.3,4,2.1,23.4,6.8,18.4,133,19,88,12.9,60,13.6,63,13.6,63
443,276,276,6,1713,6,1713,6,1709,6,1672,4,1112,40,3,26,8,4,3,62.7,81.3,12.6,8.4,12.6,3.9,3.6,1.8,8.5,4.7,22.8,511,11.5,32,9.4,26,9.4,26,9.4,26
444,378,378,6,2238,6,2238,6,2226,6,2341,5,1870,34,7,24,7,9,4,65,80.6,9.6,9.1,5.2,3.6,2.3,1.8,17.9,4.9,17.4,272,15.6,59,17.1,65,17.1,65,17.1,65
445,672,672,4,2938,4,2935,4,2938,4,2796,4,2697,41,4,27,6,9,2,85.5,90.5,5.6,4.1,2,1.9,2.4,1.5,4.6,1.9,15.2,41,9.1,61,9.1,61,9.1,61,9.1,61
446,697,697,2,1433,2,1362,2,1308,2,1271,1,926,31,2,34,7,5,4,80.8,91.4,10.9,4.2,0.8,0.5,2.4,1.5,5.1,2.5,5,14,34.4,240,34.4,240,34.4,240,34.4,240
447,1217,1217,2,2519,2,2414,2,2356,2,2139,1,622,36,2,30,7,7,3,79.2,88.6,10.7,8.5,1.2,0.5,2.4,0.8,6.5,1.6,11.2,31,16.9,205,16.9,205,16.9,205,16.9,205
448,833,833,4,3294,4,3162,3,2781,3,2476,1,664,32,2,27,6,6,2,84.7,89.5,4.7,0.9,2.5,1.1,1.2,0.9,7,7.7,14.6,146,27.3,227,27.3,227,27.3,227,27.3,227
449,1020,1108,2,2322,2,2347,2,2342,2,2014,1,1500,50,9,22,7,20,5,90.7,93.8,4.2,3.2,1.9,1.4,1.1,0.5,2,1.1,17.9,193,5,51,4.6,51,4.6,51,4.6,51
450,7732,7732,1,4065,1,3978,0,3754,0,3414,0,886,37,5,30,5,6,2,79.8,85.2,11.5,12.6,2.1,0.1,2.1,1.4,4.6,0.7,29.9,1034,14.6,1128,14.6,1128,14.6,1128,14.6,1128
451,3026,3026,1,4158,1,4022,1,3629,1,3202,1,1753,40,1,35,5,8,2,88.2,94,2.7,2.3,2.1,1.1,1.9,0.5,5,2.1,6.1,33,32.9,994,32.9,994,32.9,994,32.9,994
452,1186,1186,1,1695,1,1690,1,1619,1,1379,1,1288,36,6,25,8,14,4,82.6,86,9.3,10.1,1.5,0.6,1.3,1.2,5.3,2.1,12.5,106,16.4,195,16.4,195,16.4,195,16.4,195
453,722,722,3,2003,3,2005,3,2005,3,1863,2,1766,32,4,23,7,10,4,69.1,85.4,14.4,5.8,1.8,1.6,1.8,1.5,12.9,5.6,17.6,54,18.2,131,18.2,131,18.2,131,18.2,131
454,2248,2248,1,1513,1,1512,1,1518,1,1746,0,997,52,6,16,5,19,4,84.3,94.9,7.4,2.4,2.5,1.4,1.5,1.1,4.3,0.2,29.6,848,23,516,23,516,23,516,23,516
455,1567,1567,1,1993,1,1988,1,1988,1,1996,1,1300,45,4,27,6,16,3,87.5,91,4.6,4.9,2,1.4,1.5,0.9,4.4,1.9,18.4,96,17.4,273,17.4,273,17.9,280,17.9,280
456,272,272,4,1089,4,1087,4,1098,4,1118,4,960,81,3,0,1,81,10,94.2,91.6,2.4,4,0.6,1.8,0.3,0.7,2.5,1.9,14.4,133,15.3,41,15.3,41,15.3,41,15.3,41
457,280,280,4,1055,4,1055,4,1058,4,1046,4,1129,44,6,20,6,12,5,91.2,93.8,2.4,2.2,2.7,1.7,0.5,1,3.3,1.3,30.5,846,5.5,15,5.5,15,5.5,15,5.5,15
458,277,277,4,1126,4,1126,4,1127,4,1092,3,824,33,6,35,14,14,9,85.7,87.3,4.8,6.7,3,1.2,1.9,0.5,4.6,4.3,4.9,23,11.3,31,11.3,31,11.3,31,11.3,31
459,1002,1002,3,2776,3,2779,3,2779,3,2626,2,1718,37,6,32,9,13,5,61.7,83.9,19.9,7.8,6.6,3,3.1,1.5,8.7,3.8,17.4,98,14.6,146,14.6,146,14.6,146,14.6,146
460,1076,1076,3,3000,3,3003,3,2961,3,2730,2,2166,34,3,29,4,8,3,72.3,78.1,12.9,13.6,6.4,4.3,2.8,1.5,5.5,2.6,16.1,60,16.5,177,16.5,177,16.3,175,16.5,177
462,3454,3454,1,2255,1,2135,1,2028,1,1860,0,1037,38,2,19,6,9,5,69.2,75.4,5.6,4.9,3.3,0.3,1.4,1.5,20.4,17.9,21,104,29.9,1034,29.9,1034,29.9,1034,29.9,1034
463,531,531,5,2391,5,2391,4,2375,4,2149,4,2243,32,6,26,8,11,4,56.4,75.1,17.8,14.9,0.9,1.9,2.4,1.4,22.6,6.7,7.8,37,6.2,33,6.2,33,6.2,33,6.2,33
464,851,851,4,3567,4,3564,4,3517,4,3172,2,1713,37,2,32,7,6,3,85.9,91.8,5.9,5.9,3.1,1.1,1.5,0.3,3.5,0.9,12,113,12.5,106,12.5,106,12.5,106,12.5,106
465,307,307,4,1252,4,1252,4,1252,4,1282,2,609,33,5,21,6,9,4,73.6,91,11.4,6.1,8.9,1.3,1.6,0.8,4.5,0.8,,,22.7,70,22.7,70,23.3,71,22.7,70
466,2867,2867,1,2592,1,2562,1,2519,1,2349,0,861,41,5,20,6,11,3,68.9,77,17.7,19.9,1.2,0.9,2.9,1.2,9.4,1.1,,,29.6,848,29.6,848,29.6,848,29.6,848
467,523,523,4,2168,4,2161,4,2158,4,1921,2,1127,35,4,35,7,5,2,83,89.4,6,5.3,3.8,2.4,1.7,1.3,5.5,1.6,,,17.2,90,17.7,93,17.7,93,17.2,90
468,927,905,2,1670,2,1882,2,1890,2,1665,2,1619,20,0,5,4,0,1,82,88.6,6.7,4.9,4.3,2.5,2.6,0.9,4.4,3.2,,,15.3,142,15.7,142,15.7,142,15.7,142
469,2771,2783,1,1881,1,1890,1,1871,1,1750,0,980,44,6,28,6,11,3,95.1,95.7,0.6,0.3,1,2.6,1.4,0.8,1.9,0.6,,,30.8,854,30.7,855,30.7,855,30.7,855
470,467,499,5,2336,5,2336,5,2338,4,1770,3,1637,47,5,13,6,20,5,91.8,95.9,2,1.2,1.2,1.5,1.9,0.7,3.2,0.7,,,4.9,23,4.6,23,4.6,23,4.6,23
471,562,562,5,2769,5,2771,5,2777,4,2469,2,1087,34,2,25,7,10,4,76.2,85.2,9.7,9.9,7,0.8,2.5,1.1,4.6,2.9,,,17.5,98,17.5,98,17.5,98,17.5,98
472,374,407,4,1317,3,1310,3,1290,3,1140,2,900,46,3,25,11,20,6,92.7,91.7,3.2,6.7,1.7,0.8,1,0.7,1.5,0.2,,,16.1,60,14.8,60,14.8,60,14.8,60
473,496,486,5,2266,5,2276,5,2235,4,1879,3,1340,37,5,21,6,12,4,67.4,59,20.4,33,2.1,1.7,1.9,2.2,8.2,4.1,,,21.6,107,22.1,107,22.1,107,21.3,103
474,481,502,5,2390,5,2390,5,2382,4,2173,4,1949,41,6,22,6,10,4,91.6,94.4,2.9,1,1.5,1.1,1,0.8,3,2.7,,,7.8,37,7.4,37,7.4,37,7.4,37
475,946,946,3,2723,3,2713,3,2626,2,1775,2,1513,46,6,27,5,24,2,95.6,96.6,1,1.4,0.5,0.2,0.6,0.8,2.3,0.9,,,11.6,109,11.6,109,11.6,109,11.6,109
